"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","other_interbank_assets","short_long_term_investments","investment_securities_available_for_sale","other_investments","net_loans","reserve_for_loan_losses","total_loans","total_commercial_loans","total_consumer_loans","other_loans","net_fixed_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",29.0785714285714,"Up",6.09e+08,4.15e+08,4.76e+08,-6.1e+07,1.94e+08,2.4e+07,1.68e+08,-1.82e+08,4.27e+08,-3.96e+08,-3.1e+07,-3.65e+08,3.1e+07,3.1e+07,3e+07,5e+06,3.5e+07,5.2e+07,5.2e+07,-1.23e+08,-7.1e+07,7.69e+08,3.86e+09,3.86e+09,7.511e+09,7.346e+09,1.65e+08,3.9858e+10,-9.87e+08,4.0845e+10,3.4316e+10,2.472e+09,4.057e+09,6.37e+08,4.45e+09,5.7106e+10,3.9966e+10,2.4676e+10,1.529e+10,9.915e+09,1.068e+09,5.1438e+10,2.487e+09,1.019e+09,1.468e+09,-1.58e+09,5.064e+09,-3.03e+08,5.668e+09,5.668e+09,5.7106e+10,3.5e+07,5.2e+07,3.6e+07,1.82e+08,-1.24e+08,1.63e+08,3.09e+08,7.4e+07,1.135e+09,-1e+07,1.182e+09,-4.6e+07,-1.402e+09,5.6e+07,1e+07,-2.52e+09,-1.029e+09,-1.029e+09,-1.029e+09,6.7e+07,1.0404e+10,0.0509,-0.11658,-0.01253,-0.00124,9.07516,0.18219,-0.45806,-0.45806,3.92903,36.56774,0.29677,-0.00044,-0.64789,143.80597,310.80645
"2","2010_Q3",26.83703125,"Down",6.16e+08,4.22e+08,4.76e+08,-5.4e+07,1.94e+08,2.5e+07,1.68e+08,-1.26e+08,4.9e+08,-3.95e+08,-3.2e+07,-3.63e+08,9.5e+07,9.5e+07,9.3e+07,-2.3e+07,7e+07,7e+07,7e+07,1.49011611938477e-08,7e+07,8.16e+08,3.409e+09,3.409e+09,7.322e+09,7.188e+09,1.34e+08,3.9635e+10,-9.67e+08,4.0602e+10,3.4243e+10,2.443e+09,3.916e+09,6.34e+08,4.045e+09,5.5885e+10,3.978e+10,2.4011e+10,1.5769e+10,9.041e+09,1.072e+09,5.0093e+10,2.486e+09,1.019e+09,1.467e+09,-1.578e+09,5.124e+09,-2.4e+08,5.792e+09,5.792e+09,5.5885e+10,7e+07,7e+07,3.4e+07,1.26e+08,1.32e+08,6.9e+07,4.31e+08,2.95e+08,1.06e+08,-3000000.00000001,3.79e+08,-8000000.00000001,1e+06,7e+07,4e+06,-1.173e+09,-3.63e+08,-3.63e+08,-3.63e+08,1.29e+08,9.241e+09,0.15422,0.11364,0.01209,0.00125,8.64865,0.16536,0.45161,0.40462,3.97419,37.36774,0.05161,0.0014,0.11429,65.31008,88.68421
"3","2010_Q4",28.14265625,"Up",5.9e+08,4.04e+08,4.56e+08,-5.2e+07,1.86e+08,2.5e+07,1.61e+08,-1.16e+08,4.74e+08,-4.06e+08,-3.2e+07,-3.74e+08,6.8e+07,6.8e+07,6.6e+07,-7e+06,5.9e+07,5.9e+07,5.9e+07,0,5.9e+07,8.63e+08,3.131e+09,3.031e+09,6.931e+09,6.816e+09,1.15e+08,3.9323e+10,-9.57e+08,4.028e+10,3.4056e+10,2.403e+09,3.821e+09,6.39e+08,4.104e+09,5.5004e+10,4.0631e+10,2.4868e+10,1.5763e+10,7.239e+09,1.098e+09,4.9147e+10,2.492e+09,1.019e+09,1.473e+09,-1.568e+09,5.171e+09,-2.38e+08,5.857e+09,5.857e+09,5.5004e+10,5.9e+07,5.9e+07,3.8e+07,1.16e+08,8e+06,3.4e+07,2.55e+08,4.02e+08,2.32e+08,1.1e+07,6.16e+08,-9e+06,0,7.91e+08,-1.1e+07,-1.102e+09,-2.31e+08,-2.31e+08,-2.31e+08,1.06e+08,7.418e+09,0.11525,0.1,0.01007,0.00107,8.39116,0.13486,0.34706,0.34104,3.47059,34.45294,0.05294,0.00124,0.15254,61.83962,96.39706
"4","2011_Q1",28.4779032258065,"Up",6.2e+08,4.05e+08,4.45e+08,-4e+07,2.15e+08,8.5e+07,1.3e+08,-5.4e+07,5.66e+08,-4.45e+08,-999999.999999996,-4.44e+08,1.21e+08,1.21e+08,1.26e+08,-3e+07,9.6e+07,9.6e+07,9.6e+07,-1e+06,9.5e+07,6.68e+08,1.415e+09,1.415e+09,7.701e+09,7.56e+09,1.41e+08,3.9335e+10,-9.01e+08,4.0236e+10,3.4165e+10,2.311e+09,3.76e+09,6.3e+08,3.918e+09,5.3667e+10,4.0471e+10,2.4933e+10,1.5538e+10,6.138e+09,1.135e+09,4.7874e+10,2.5e+09,1.019e+09,1.481e+09,-1.565e+09,5.247e+09,-3.89e+08,5.793e+09,5.793e+09,5.3667e+10,9.6e+07,9.6e+07,4.2e+07,5.4e+07,-1.53e+08,2.52e+08,2.91e+08,-8.78e+08,-7e+07,-8.8e+07,-9.71e+08,-9e+06,-4e+06,-1.46e+08,999999.999999998,-1.231e+09,-1.911e+09,-1.911e+09,-1.911e+09,1.63e+08,6.268e+09,0.19516,0.15323,0.0164,0.00177,8.26411,0.11679,0.55882,0.54913,3.64706,34.07647,0.05294,0.00194,0.09474,34.35583,46.28099
"5","2011_Q2",26.4465079365079,"Down",6.02e+08,3.95e+08,4.34e+08,-3.9e+07,2.07e+08,2.4e+07,1.81e+08,-4.9e+07,5.53e+08,-4.15e+08,-2.4e+07,-3.91e+08,1.38e+08,1.38e+08,1.38e+08,-3.5e+07,1.03e+08,1.03e+08,1.03e+08,-1e+06,1.02e+08,8.75e+08,3.57e+09,3.57e+09,7.56e+09,7.406e+09,1.54e+08,3.8327e+10,-8.49e+08,3.9176e+10,3.308e+10,2.262e+09,3.834e+09,6.37e+08,4.048e+09,5.5017e+10,4.1873e+10,2.5516e+10,1.6357e+10,6.116e+09,1.09e+09,4.914e+10,2.483e+09,1.019e+09,1.464e+09,-1.541e+09,5.317e+09,-3.82e+08,5.877e+09,5.877e+09,5.5017e+10,1.03e+08,1.03e+08,3.6e+07,4.9e+07,2.3e+07,-6.1e+07,1.5e+08,1.44e+08,9.46e+08,-4e+06,1.086e+09,-1.8e+07,-2.1e+07,1.226e+09,8e+06,1.126e+09,2.362e+09,2.362e+09,2.362e+09,1.74e+08,6.177e+09,0.22924,0.16944,0.01736,0.00185,8.36141,0.11227,0.58286,0.58286,3.44,33.58286,0.10286,0.00218,0.17647,30.47126,38.42029
"6","2011_Q3",20.119375,"Down",5.93e+08,3.91e+08,4.31e+08,-4e+07,2.02e+08,2.4e+07,1.74e+08,-4.2e+07,5.51e+08,-4.09e+08,-2.5e+07,-3.84e+08,1.42e+08,1.42e+08,1.37e+08,-4.1e+07,9.6e+07,9.6e+07,9.6e+07,-1e+06,9.5e+07,9.87e+08,2.479e+09,2.479e+09,7.661e+09,7.537e+09,1.24e+08,3.8387e+10,-8.06e+08,3.9193e+10,3.3359e+10,2.232e+09,3.602e+09,6.41e+08,3.986e+09,5.4141e+10,4.1758e+10,2.5414e+10,1.6344e+10,5.206e+09,1.072e+09,4.8103e+10,2.491e+09,1.019e+09,1.472e+09,-1.54e+09,5.395e+09,-3.08e+08,6.038e+09,6.038e+09,5.4141e+10,9.6e+07,9.6e+07,3.5e+07,4.2e+07,1.4e+07,1.25e+08,3.12e+08,-1.36e+08,-88000000.0000001,-5.4e+07,-2.45e+08,-1.7e+07,3.72529029846191e-09,-92000000.0000002,-3e+06,-1.046e+09,-9.79e+08,-9.79e+08,-9.79e+08,1.77e+08,5.273e+09,0.23946,0.1602,0.01573,0.00175,7.96671,0.09739,0.54286,0.54913,3.38857,34.50286,0.09714,0.00207,0.17895,24.21469,30.1831
"7","2011_Q4",18.5488888888889,"Down",6.24e+08,4.23e+08,4.63e+08,-4e+07,2.01e+08,7.1e+07,1.18e+08,-3.5e+07,5.89e+08,-4.3e+08,-2.5e+07,-4.05e+08,1.59e+08,1.59e+08,1.26e+08,-2.8e+07,9.8e+07,9.8e+07,9.8e+07,-1e+06,9.7e+07,9.81e+08,4.217e+09,4.217e+09,9.869e+09,9.732e+09,1.37e+08,4.0458e+10,-7.67e+08,4.1225e+10,3.53e+10,2.309e+09,3.616e+09,6.85e+08,4.678e+09,6.0888e+10,4.7452e+10,2.8336e+10,1.9116e+10,5.009e+09,1.312e+09,5.3937e+10,3.303e+09,1.141e+09,2.162e+09,-1.593e+09,5.471e+09,-2.3e+08,6.951e+09,6.951e+09,6.0888e+10,9.8e+07,9.8e+07,4.6e+07,3.5e+07,-2e+06,1.17e+08,2.94e+08,-4.85e+08,-6e+06,-3.3e+07,1.97e+08,-1.8e+07,-5.4e+07,1.764e+09,-2e+06,1.241e+09,1.732e+09,1.732e+09,1.732e+09,2.05e+08,5.173e+09,0.25481,0.15545,0.01395,0.00159,7.7596,0.08496,0.52432,0.52151,3.37297,37.57297,0.0973,0.00189,0.18557,20.44878,26.36478
"8","2012_Q1",22.2509677419355,"Up",6.26e+08,4.44e+08,4.81e+08,-3.7e+07,1.82e+08,5.3e+07,1.33e+08,-1.8e+07,6.08e+08,-4.32e+08,-2.7e+07,-4.05e+08,1.76e+08,1.76e+08,1.29e+08,-3.3e+07,9.6e+07,9.6e+07,9.6e+07,-1e+06,9.5e+07,9.82e+08,2.574e+09,2.574e+09,1.0253e+10,1.0104e+10,1.49e+08,4.1953e+10,-7.26e+08,4.2679e+10,3.6793e+10,2.285e+09,3.601e+09,6.75e+08,4.571e+09,6.1008e+10,4.7755e+10,2.7991e+10,1.9764e+10,4.944e+09,1.371e+09,5.414e+10,3.311e+09,1.141e+09,2.17e+09,-1.633e+09,5.546e+09,-3.56e+08,6.868e+09,6.868e+09,6.1008e+10,9.6e+07,9.6e+07,4.4e+07,1.8e+07,7.9e+07,-1.97e+08,4e+07,-4.13e+08,-1.511e+09,5.2e+07,-1.887e+09,-2e+07,-3.7e+07,3.98e+08,1.1e+07,2.05e+08,-1.642e+09,-1.642e+09,-1.642e+09,2.2e+08,5.014e+09,0.28115,0.15176,0.01383,0.00156,7.88294,0.08219,0.51351,0.51075,3.38378,37.12432,0.10811,0.00188,0.21053,18.32727,22.90909
"9","2012_Q2",22.7653968253968,"Up",6.48e+08,4.42e+08,4.77e+08,-3.5e+07,2.06e+08,3.3e+07,1.68e+08,-2.2e+07,6.26e+08,-4.48e+08,-2.6e+07,-4.22e+08,1.78e+08,1.78e+08,1.78e+08,-4.8e+07,1.3e+08,1.3e+08,1.3e+08,-1e+06,1.29e+08,9.84e+08,2.976e+09,2.966e+09,1.0241e+10,1.0061e+10,1.8e+08,4.2308e+10,-7.04e+08,4.3012e+10,3.7161e+10,2.238e+09,3.613e+09,6.7e+08,5.414e+09,6.2593e+10,4.9306e+10,2.8565e+10,2.0741e+10,4.919e+09,1.301e+09,5.5608e+10,3.295e+09,1.141e+09,2.154e+09,-1.614e+09,5.63e+09,-3.26e+08,6.985e+09,6.985e+09,6.2593e+10,1.3e+08,1.3e+08,4.3e+07,2.2e+07,2.3e+07,-6.1e+07,1.57e+08,6.8e+07,-3.57e+08,-1.4e+07,-3.03e+08,-2e+07,-3.6e+07,6e+08,-3e+06,5.49e+08,4.03e+08,4.03e+08,4.03e+08,2.21e+08,5.001e+09,0.27469,0.19907,0.01847,0.00206,7.96106,0.0799,0.66154,0.65816,3.32308,35.82051,0.10256,0.00238,0.15504,18.17647,22.56742
"10","2012_Q3",23.1698412698413,"Up",6.46e+08,4.35e+08,4.7e+08,-3.5e+07,2.11e+08,3.4e+07,1.71e+08,-1.9e+07,6.27e+08,-4.25e+08,-2.6e+07,-3.99e+08,2.02e+08,2.02e+08,1.94e+08,-5e+07,1.44e+08,1.44e+08,1.44e+08,-2e+06,1.42e+08,1.076e+09,3.065e+09,3.065e+09,1.011e+10,9.94e+09,1.7e+08,4.3325e+10,-6.67e+08,4.3992e+10,3.8223e+10,2.218e+09,3.551e+09,6.67e+08,4.407e+09,6.265e+10,4.9388e+10,2.8058e+10,2.133e+10,4.742e+09,1.409e+09,5.5622e+10,3.285e+09,1.141e+09,2.144e+09,-1.7e+09,5.744e+09,-3.01e+08,7.028e+09,7.028e+09,6.265e+10,1.44e+08,1.44e+08,4.7e+07,1.9e+07,4.8e+07,3.1e+07,2.89e+08,1.36e+08,-1.019e+09,-2e+07,-9.02e+08,-2e+07,-8.9e+07,1.089e+09,2e+06,7.94e+08,1.81e+08,1.81e+08,1.81e+08,2.49e+08,4.825e+09,0.31269,0.21981,0.0202,0.00227,7.91434,0.07702,0.73196,0.73196,3.3299,36.2268,0.10309,0.00259,0.14085,15.05622,18.55941
"11","2012_Q4",22.3462903225806,"Down",6.24e+08,4.27e+08,4.6e+08,-3.3e+07,1.97e+08,4.9e+07,1.48e+08,-2.2e+07,6.02e+08,-4.24e+08,-2.7e+07,-3.97e+08,1.78e+08,1.78e+08,1.53e+08,-3.6e+07,1.17e+08,1.17e+08,1.17e+08,-1e+06,1.16e+08,9.33e+08,3.005e+09,3.005e+09,1.0715e+10,1.0569e+10,1.46e+08,4.3547e+10,-6.47e+08,4.4194e+10,3.8411e+10,2.174e+09,3.609e+09,6.25e+08,4.489e+09,6.3314e+10,4.9977e+10,2.8224e+10,2.1753e+10,4.74e+09,1.45e+09,5.623e+10,3.294e+09,1.141e+09,2.153e+09,-1.788e+09,5.831e+09,-2.53e+08,7.084e+09,7.084e+09,6.3314e+10,1.17e+08,1.17e+08,4.5e+07,2.2e+07,1.7e+07,9.8e+07,2.99e+08,-5.81e+08,-2.41e+08,5e+06,-8.18e+08,-2.9e+07,-9e+07,4.52e+08,4e+06,3.17e+08,-2.02e+08,-2.02e+08,-2.02e+08,2.23e+08,4.803e+09,0.28526,0.1859,0.01637,0.00183,7.93761,0.07586,0.61053,0.60733,3.28421,37.28421,0.15263,0.00229,0.25,17.35426,21.74157
