"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q3",30.14984375,"Down",411292000,-32974000,378318000,-297266000,-62168000,-40424000,-194674000,81052000,-22819000,-22926000,107000,58233000,-82501000,-24268000,8414000,-15854000,-15854000,-15854000,-15854000,93936000,93936000,59913000,59913000,46151000,22563000,16298000,222563000,1786514000,623870000,164058000,335610000,45153000,2410384000,2632947000,190454000,142554000,47900000,14050000,150002000,150002000,354506000,1631829000,20807000,20807000,1652636000,2007142000,687341000,-62862000,625805000,625805000,2632947000,-15854000,40424000,29206000,19781000,73557000,-55706000,-55471000,-205545000,-31772000,16483000,34569000,34569000,34569000,121476000,1645879000,77137000,0.91983,0.19707,-0.03855,-0.02533,-0.00602,-4.86546,0.62781,3.2073,0.62511,-0.17964,-0.17964,4.66043,7.09111,0.87405,-0.00692,0.03365,12.77572,19.1475
"2","2013_Q4",26.41046875,"Down",538389000,-40422000,497967000,-295706000,-47426000,-42322000,-205958000,202261000,-18894000,-18907000,13000,183367000,2571000,185938000,-64835000,121103000,121103000,121103000,121103000,210516000,210516000,52505000,52505000,37886000,15485000,14170000,316392000,1771307000,570437000,163783000,335610000,42371000,2341744000,2658136000,158219000,105871000,52348000,14050000,99527000,99527000,271796000,1629489000,27564000,18628000,1657053000,1928849000,689823000,39265000,729287000,729287000,2658136000,121103000,42322000,69707000,-57879000,175253000,-37827000,-37546000,-6513000,3326000,-21127000,116580000,116580000,116580000,244583000,1643539000,213712000,0.92492,0.37568,0.22494,0.16606,0.04556,1.76471,1.16408,2.64484,0.61831,1.35188,1.32247,6.01008,8.14109,2.38568,0.05793,0.08903,5.85905,7.08502000000018
"3","2014_Q1",28.773606557377,"Up",271959000,-20968000,250991000,-249079000,-37717000,-41932000,-169430000,1912000,-20135000,-20183000,48000,-18223000,-1407000,-19630000,6661000,-12969000,-12969000,-12969000,-12969000,116841000,116841000,41509000,41509000,36209000,48500000,19613000,243059000,1771500000,562851000,163508000,335610000,35890000,2334351000,2577410000,155699000,98500000,39260000,14050000,82945000,82945000,252694000,1632531000,44158000,18488000,1676689000,1929383000,690293000,1886000,648027000,648027000,2577410000,-12969000,41932000,-1994000,-13492000,13477000,-40406000,-40573000,-3513000,-852000,-66579000,-93675000,-93675000,-93675000,43844000,1646581000,-16715000,0.9229,0.00703,-0.04769,-0.02001,-0.00503,1.28884,0.96187,2.97732,0.63885,-0.14483,-0.14408,3.03705,7.23672,-0.18666,0.00217,-0.00715,34.89052,800.07322
"4","2014_Q2",27.1403174603175,"Down",212290000,-16760000,195530000,-254264000,-45076000,-41276000,-167912000,-58734000,-19721000,-19704000,-17000,-78455000,-674000,-79129000,29912000,-49217000,-49217000,-49217000,-49217000,61240000,61240000,38451000,38451000,41788000,56642000,23534000,198121000,1780406000,565974000,163233000,335610000,40117000,2346380000,2544501000,173755000,113482000,42258000,14050000,124605000,124605000,312410000,1624798000,19882000,18781000,1644680000,1957090000,673211000,-41440000,587411000,587411000,2544501000,-49217000,41276000,-28615000,49567000,13011000,-46827000,-47331000,-3512000,-78000,-21281000,-55601000,-55601000,-55601000,-17458000,1638848000,-44630000,0.92105,-0.27667,-0.23184,-0.08379,-0.01934,0.9068,0.63417,3.33172,0.64407,-0.55666,-0.55666,2.40106,6.64379,-0.50478,-0.01404,-0.01987,-90.36591,-26.86022
"5","2014_Q3",21.5928125,"Down",405151000,-33651000,371500000,-290840000,-58564000,-43086000,-189190000,80660000,-20481000,-20526000,45000,60179000,-73000,60106000,-22700000,37406000,37406000,37406000,37406000,63006000,63006000,46810000,46810000,44308000,31813000,22196000,185937000,1775182000,564338000,162958000,335610000,39586000,2339520000,2525457000,175774000,118083000,39101000,14050000,135312000,135312000,325136000,1622439000,22482000,21073000,1644921000,1970057000,655442000,-4104000,555400000,555400000,2525457000,37406000,43086000,27489000,12517000,120498000,-47020000,-46745000,-3513000,-52000,-71987000,1766000,1766000,1766000,123746000,1636489000,111943000,0.91694,0.19909,0.09233,0.06735,0.01481,2.99265,0.57187,3.5471,0.648,0.4306,0.4306,4.66393,6.39354,1.28864,0.02489,0.05055,12.71543,19.5076
"6","2014_Q4",16.044375,"Down",495834000,-38219000,457615000,-294504000,-49242000,-44371000,-200891000,163111000,-20801000,-20857000,56000,142310000,-1657000,140653000,-53477000,87176000,87176000,87176000,87176000,115192000,115192000,43631000,43631000,36766000,26181000,18096000,221770000,1751173000,558474000,164552000,335610000,32956000,2309647000,2531417000,142038000,80305000,43086000,14050000,92264000,92264000,248352000,1592369000,70579000,20349000,1662948000,1911300000,656008000,58962000,620117000,620117000,2531417000,87176000,44371000,57610000,-52727000,136430000,-30862000,-31006000,-3.5e+07,-4000.00000000012,-53236000,52188000,52188000,52188000,207482000,1606419000,177370000,0.92292,0.32896,0.17582,0.14058,0.03444,2.03462,0.89297,3.08216,0.63459,1.00546,0.99448,5.71876,7.1522,2.04572,0.04589,0.07721,7.18726,9.14240999999999
"7","2015_Q1",17.0765573770492,"Up",264537000,-20394000,244143000,-253695000,-36487000,-47542000,-169666000,-9552000,-20342000,-20456000,114000,-29894000,-12945000,-42839000,17393000,-25446000,-25446000,-25446000,-25446000,43906000,43906000,37002000,37002000,33134000,28162000,20894000,142204000,1744631000,535636000,164188000,335610000,11313000,2280267000,2422471000,127668000,88279000,39217000,14050000,79367000,79367000,221085000,1569400000,52451000,20691000,1621851000,1842936000,656373000,33516000,579535000,579535000,2422471000,-25446000,47542000,-10483000,-20020000,-8407000,-31832000,-31464000,-3512000,-79000,-31417000,-71288000,-71288000,-71288000,37990000,1583450000,-31255000,0.92291,-0.03611,-0.09619,-0.04391,-0.0105,1.22829,0.64321,3.18003,0.65365,-0.29334,-0.29256,3.04959,6.6809,-0.36031,-0.00315,-0.01411,40.52498,-161.17504
"8","2015_Q2",19.4322222222222,"Up",214592000,-15903000,198689000,-248743000,-51078000,-43854000,-153811000,-50054000,-20439000,-20178000,-261000,-70493000,-144999.999999996,-70638000,27040000,-43598000,-43598000,-43598000,-43598000,43369000,43369000,38510000,38510000,37877000,30655000,23387000,150411000,1739997000,553455000,163822000,335610000,30327000,2293452000,2443863000,154025000,96005000,39647000,44050000,130584000,130584000,328659000,1586435000,28156000,23983000,1614591000,1943250000,640016000,-28176000,500613000,500613000,2443863000,-43598000,43854000,-21949000,59375000,37682000,-40673000,-40953000,26487000,-4999.99999999907,2734000,-537000,-537000,-537000,-6200000,1630485000,-14538000,0.92589,-0.23325,-0.20317,-0.08709,-0.01784,0.33346,0.45765,3.88174,0.66718,-0.50638,-0.50638,2.49244,5.81452,-0.16886,-0.01181,-0.00672999999999999,-255.98645,-31.70808
"9","2015_Q3",17.05921875,"Down",391616000,-31112000,360504000,-314632000,-73320000,-50110000,-191202000,45872000,-15941000,-15732000,-209000,29931000,-20470000,9461000,-3652000,5809000,5809000,5809000,5809000,52931000,52931000,56094000,56094000,38749000,27830000,20562000,175604000,1725046000,535153000,163457000,335610000,13220000,2260199000,2435803000,167265000,108313000,40561000,16850000,146458000,146458000,330573000,1584365000,35806000,31206000,1620171000,1950744000,622400000,-22367000,485059000,485059000,2435803000,5809000,50110000,29324000,19157000,104400000,-42861000,-42760000,-14212000,-19702000,-52078000,9562000,9562000,9562000,95982000,1601215000,75930000,0.92055,0.11714,0.01483,0.01198,0.00238,13.0711,0.53121,4.02166,0.65737,0.0674,0.06732,4.54385,5.62805,0.881,0.0113,0.03578,16.13098,33.75227
"10","2015_Q4",17.766875,"Up",496939000,-36959000,459980000,-289120000,-47684000,-44505000,-196931000,170860000,-15060000,-15019000,-41000,155800000,3.72529029846191e-09,155800000,-57850000,97950000,97950000,97950000,97950000,119651000,119651000,48534000,48534000,32267000,25346000,18078000,225798000,1713090000,536510000,163091000,335610000,15772000,2249600000,2475398000,133847000,79182000,36269000,16850000,98101000,98101000,248798000,1581309000,104586000,47163000,1685895000,1934693000,623947000,57472000,540705000,540705000,2475398000,97950000,44505000,62027000,-66644000,137838000,-33595000,-33795000,-4213000,-2000,-37323000,66720000,66720000,66720000,215365000,1598159000,172976000,0.92563,0.34382,0.19711,0.18115,0.03957,1.76596,0.90756,3.57809,0.64562,1.13887,1.13763,5.77796,6.28683,2.01121,0.05173,0.0771,6.86513,8.65332999999999
"11","2016_Q1",18.1193442622951,"Up",267857000,-20006000,247851000,-252825000,-41990000,-44034000,-166801000,-4974000,-14260000,-14642000,382000,-19234000,-2558000,-21792000,10764000,-11028000,-11028000,-11028000,-11028000,18971000,18971000,39538000,39538000,31213000,16360000,16360000,106082000,1718996000,563584000,162726000,335610000,19927000,2282580000,2388662000,117646000,93743000,23473000,31850000,79818000,79818000,229314000,1548893000,106335000,40646000,1655228000,1884542000,625668000,46460000,504120000,504120000,2388662000,-11028000,44034000,-5343000,-21309000,6354000,-40293000,-39869000,-19212000,-5000,-67165000,-100680000,-100680000,-100680000,39060000,1580743000,-33306000,0.92531,-0.01857,-0.04117,-0.02188,-0.00462,3.02013,0.46261,3.73828,0.66177,-0.12951,-0.12908,3.14567,5.92031,-0.39114,0.00316,-0.0152,39.98392,-313.98713
