"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",25.0104761904762,"Up",464999000,-140695000,324304000,-214296000,-10721000,-146042000,-57533000,110008000,-119734000,-114111000,-5623000,-9726000,478000,-9248000,-159000,-9407000,57856000,-2373000,55483000,-3620000,51863000,60186000,60186000,163378000,163378000,223564000,15059938000,19031960000,-3972022000,234911000,5645000,229266000,15294849000,15518413000,266047000,95046000,68895000,102106000,4916356000,4916356000,251970000,251970000,5434373000,4578377000,62637000,62637000,4641014000,10075387000,208761000,4511146000,310276000,-8255000,5021928000,421098000,5443026000,15518413000,9494733000,0.69743,0.23658,0.11153,0.00953,0.00334,0.04114,1.85106,0.61184,0.1848,0.1848,1.65689,17.15038,0.00346,85.76237
"2","2010_Q3",26.4128125,"Up",411560000,-102862000,308698000,-218535000,-10087000,-156922000,-51526000,90163000,-115154000,-113378000,-1776000,-24991000,5079000,-19912000,166000,-19746000,10089000,-128000,9961000,-3618000,6343000,47982000,47982000,108654000,108654000,156636000,15267159000,19414123000,-4146964000,201477000,2889000,198588000,15468636000,15625272000,281584000,81791000,97273000,102520000,5074601000,5074601000,312119000,312119000,5668304000,4584800000,62568000,62568000,4647368000,10315672000,208686000,4527193000,220965000,-79666000,4877178000,432422000,5309600000,15625272000,9659401000,0.75007,0.21908,0.01541,0.00119,0.00041,0.02763,1.94283,0.61819,0.02248,0.02248,1.45831,16.54221,0.000419999999999999,106.60048
"3","2010_Q4",28.97546875,"Up",442414000,-120129000,322285000,-220569000,-10221000,-154858000,-55490000,101716000,-126323000,-120790000,-5533000,-24607000,21383000,-3224000,-290000,-3514000,29826000,-1043000,28783000,-3617000,25166000,43660000,43660000,109608000,109608000,153268000,15730869000,20044371000,-4313502000,202692000,0,202692000,15933561000,16086829000,285148000,111121000,71374000,102653000,4991244000,4991244000,341209000,341209000,5617601000,5185283000,62549000,62549000,5247832000,10865433000,208653000,4506090000,150344000,-116464000,4748623000,472773000,5221396000,16086829000,10176527000,0.72847,0.22991,0.05688,0.00482,0.00156,0.02728,2.08094,0.6326,0.08901,0.08901,1.56487,16.05836,0.00163,99.6192
"4","2011_Q1",31.0637096774194,"Up",355736000,-90306000,265430000,-173727000,-8852000,-123647000,-41228000,91703000,-116522000,-112469000,-4053000,-24819000,-45614000,-70433000,-8000,-70441000,198212000,-8829000,189383000,-3513000,185870000,431408000,431408000,180987000,180987000,612395000,15365014000,19702371000,-4337357000,206785000,3167000,203618000,15571799000,16184194000,278988000,39452000,98631000,140905000,4762896000,4762896000,304202000,304202000,5346086000,5185180000,60812000,60812000,5245992000,10592078000,2e+08,4744423000,203581000,-57818000,5090186000,501930000,5592116000,16184194000,9948076000,0.74614,0.25778,0.52249,0.03324,0.01148,0.11455,1.89411,0.61468,0.64996,0.64996,1.24395,17.10017,0.01191,103.77706
"5","2011_Q2",34.4877777777778,"Up",466356000,-127428000,338928000,-222975000,-11433000,-158455000,-53087000,115953000,-124682000,-120528000,-4154000,-8729000,-36968130.3573599,-8729000,-184000,-8913000,133066000,-5735000,127331000,-3466000,123865000,306072000,306072000,309605000,309605000,615677000,15271843000,19695921000,-4424078000,187809000,3533000,184276000,15459652000,16075329000,258377000,80385000,71972000,106020000,4583545000,4583545000,260873000,260873000,5102795000,5092967000,60784000,60784000,5153751000,10256546000,2e+08,4901380000,228092000,-50634000,5278838000,539945000,5818783000,16075329000,9676512000,0.72676,0.24864,0.2656,0.02129,0.00771,0.12065,1.76266,0.60195,0.4229,0.4229,1.59223,17.34013,0.00796,80.8124
"6","2011_Q3",34.85984375,"Up",476519000,-117877000,358642000,-219824000,-10908000,-153436000,-55480000,138818000,-128664000,-119915000,-8749000,10154000,4217000,14371000,-202000,14169000,581753000,-25829000,555924000,-3467000,552457000,604764000,604764000,361831000,361831000,966595000,15229782000,19537188000,-4307406000,201745000,3623000,198122000,15431527000,16398122000,268268000,69118000,92584000,106566000,4352372000,4352372000,306503000,306503000,4927143000,5096250000,60779000,60779000,5157029000,10084172000,2e+08,4950430000,680619000,-80553000,5750496000,563454000,6313950000,16398122000,9448622000,0.75263,0.29132,1.15936,0.0875,0.03369,0.19618,1.59713,0.5762,1.87488,1.76957,1.61717,18.83676,0.03491,63.70829
"7","2011_Q4",32.9428571428571,"Down",480943000,-117248000,363695000,-222716000,-10121000,-155525000,-57070000,140979000,-112231000,-110514000,-1717000,28748000,0,28748000,-283000,28465000,112977000,-5129000,107848000,-3466000,104382000,45986000,45986000,369461000,369461000,415447000,15133288000,19538767000,-4405479000,208082000,11020000,197062000,15341370000,15756817000,274413000,97845000,69895000,106673000,4162848000,4162848000,409591000,409591000,4846852000,4614323000,62073000,62073000,4676396000,9523248000,2e+08,5035829000,684902000,-185032000,5735699000,497870000,6233569000,15756817000,8777171000,0.75621,0.29313,0.21704,0.01675,0.00662,0.08571,1.52774,0.55704,0.35284,0.33366,1.62574,18.71237,0.00693,61.93252
"8","2012_Q1",34.9538709677419,"Up",101402000,-23694000,77708000,-66949000,-11142000,-38759000,-17048000,10759000,-115648000,-109215000,-6433000,-104889000,-1736000,-106625000,-37000,-106662000,107401000,-4919000,102482000,-3466000,99016000.0000001,383921000,383921000,152237000,152237000,536158000,15868363000,20407946000,-4539583000,254782000,12327000,242455000,16123145000,16659303000,302406000,35206000,88121000,179079000,4111487000,4111487000,291289000,291289000,4705182000,5609574000,65286000,65286000,5674860000,10380042000,2e+08,5050161000,615572000,-196718000,5669015000,610246000,6279261000,16659303000,9721061000,0.76634,0.1061,0.97647,0.01577,0.00594,0.11395,1.65307,0.58352,0.33447,0.37867,0.34253,18.47422,0.00616,867.8446
"9","2012_Q2",37.0409523809524,"Up",446448000,-116291000,330157000,-215681000,-13688000,-148246000,-53747000,114476000,-126583000,-118011000,-8572000,-12107000,-1149000,-13256000,-170000,-13426000,152167000,-6868000,145299000,-3466000,141833000,219628000,219628000,182182000,182182000,401810000,15878097000,20537091000,-4658994000,201340000,14803000,186537000,16079437000,16481247000,265587000,77055000,79489000,109043000,4056976000,4056976000,261448000,261448000,4584011000,5355590000,65468000,65468000,5421058000,10005069000,2e+08,5155980000,656001000,-189973000,5822008000,654170000,6476178000,16481247000,9412566000,0.73952,0.25642,0.31769,0.0219,0.00861,0.08765,1.5449,0.57111,0.47467,0.47467,1.49411,18.81497,0.00889,80.3045
"10","2012_Q3",37.1126984126984,"Up",432166000,-101804000,330362000,-207426000,-13391000,-141027000,-53008000,122936000,-126792000,-114243000,-12549000,-3856000,-685000,-4541000.00000001,-210000,-4751000,108315000,-5051000,103264000,-3467000,99797000,44585000,44585000,193892000,193892000,238477000,16245611000,21023498000,-4777887000,230324000,17886000,212438000,16475935000,16714412000,264805000,72647000,82695000,109463000,4039496000,4039496000,430650000,430650000,4734951000,5354768000,68265000,68265000,5423033000,10157984000,2e+08,5229098000,654235000,-198075000,5885258000,671170000,6556428000,16714412000,9394264000,0.76443,0.28446,0.23092,0.01522,0.00597,0.05037,1.54932,0.56205,0.33244,0.33244,1.43963,18.93868,0.00623,76.0532199999999
"11","2012_Q4",34.2161290322581,"Down",424145000,-98683000,325462000,-194431000,-10083000,-132875000,-51473000,131031000,-50442000,-113222000,62780000,80589000,-87000,80502000,-222000,80280000,236323000,-10184000,226139000,-7536000,218603000,45623000,45623000,120440000,120440000,166063000,16270768000,21151576000,-4880808000,231714000,17906000,213808000,16502482000,16668545000,292519000,105602000,78869000,108048000,3955115000,3955115000,370046000,370046000,4617680000,5354038000,68758000,68758000,5422796000,10040476000,5e+07,5367829000,770697000,-197754000,5990772000,637297000,6628069000,16668545000,9309153000,0.76734,0.30893,0.5154,0.03298,0.01311,0.03596,1.51484,0.55849,0.72545,0.68576,1.40755,19.71478,0.01366,70.69724
"12","2013_Q1",34.9116666666667,"Up",444743000,-97343000,347400000,-201750000,-10071000,-138521000,-53158000,145650000,-49464000,-109760000,60296000,96186000,1921000,98107000,87999.9999999999,98195000,384399000,-17382000,367017000,-1038000,365979000,612590000,612590000,250442000,250442000,863032000,16096208000,21008429000,-4912221000,241760000,17877000,223883000,16337968000,1.7201e+10,374771000,38372000,76223000,260176000,3898369000,3898369000,304518000,304518000,4577658000,4630875000,66988000,66988000,4697863000,9275521000,5e+07,6545606000,887355000,-193148000,7289813000,635666000,7925479000,1.7201e+10,8529244000,0.78113,0.32749,0.8229,0.04618,0.02128,0.18853,1.17034,0.49586,1.17879,1.01297,1.43248,23.31888,0.02215,54.35396
"13","2013_Q2",35.7509375,"Up",504722000,-121018000,383704000,-279458000,-16495000,-196222000,-66741000,104246000,-269180000,-194467000,-74713000,-164934000,0,-164934000,-405000,-165339000,1061034000,-43348000,1017686000,-1036000,1016650000,56087000,56087000,147515000,147515000,203602000,22929318000,27364093000,-4434775000,662238000,193338000,468900000,23591556000,23795158000,344105000,104836000,88518000,150751000,6775424000,6775424000,401225000,401225000,7520754000,5379890000,72669000,72669000,5452559000,12973313000,5e+07,8496446000,1759990000,-182508000,10123928000,697917000,10821845000,23795158000,12155314000,0.76023,0.20654,2.01428,0.09394,0.04273,0.02707,1.19881,0.51083,3.01201,3.01201,1.49533,29.84585,0.04411,116.06418
"14","2013_Q3",34.5603125,"Down",617217000,-135532000,481685000,-417708000,-16085000,-323304000,-78319000,63977000,-136676000,-122950000,-13726000,-72699000,14616000,-58083000,-428000,-58511000,336732000,-11973000,324759000,-1036000,323723000,152564000,152564000,197267000,197267000,349831000,22441580000,26988907000,-4547327000,690972000,188582000,502390000,23132552000,23482383000,321532000,84603000,86083000,150846000,6247612000,6247612000,318622000,318622000,6887766000,5475954000,71857000,71857000,5547811000,12435577000,5e+07,8499630000,1939598000,-166844000,10322384000,724422000,11046806000,23482383000,11723566000,0.78041,0.10365,0.52449,0.0293,0.01379,0.05079,1.12572,0.49925,0.9001,0.9001,1.71615,28.56193,0.01417,180.8619
"15","2013_Q4",33.27875,"Down",626629000,-137657000,488972000,-368576000,-14437000,-276707000,-77432000,120396000,-130932000,-120035000,-10897000,-10536000,-2437000,-12973000,-492000,-13465000,391717000,-14525000,377192000,-1037000,376155000,972761000,972761000,98874000,98874000,1071635000,22086243000,26740837000,-4654594000,653553000,165898000,487655000,22739796000,23811431000,402128000,166939000,85353000,149836000,6230675000,6230675000,331797000,331797000,6964600000,5476522000,71462000,71462000,5547984000,12512584000,5e+07,8546426000,2171603000,-169392000,10598637000,700210000,11298847000,23811431000,11707197000,0.78032,0.19213,0.60028,0.03329,0.0158,0.15387,1.10742,0.49166,1.04542,1.04542,1.74155,29.31716,0.0163,89.15941
"16","2014_Q1",36.0867213114754,"Up",639134000,-139562000,499572000,-275869000,-15162000,-182740000,-77967000,223703000,-154766000,-149402000,-5364000,68937000,48000.0000000019,68985000,156000,69141000,115870000,-4894000,110976000,-1036000,109940000,53533999.9999998,53533999.9999998,103567000,103567000,157101000,21993239000,26800948000,-4807709000,684205000,178526000,505679000,22677444000,22834545000,440611000,118791000,78309000,243511000,5289166000,5289166000,347748000,347748000,6077525000,5477088000,71592000,71592000,5548680000,11626205000,5e+07,8565105000,2047258000,-155162000,10507201000,701139000,11208340000,22834545000,10766254000,0.78164,0.35001,0.17201,0.00981,0.00481,0.02585,1.03728,0.47149,0.3052,0.3052,1.77427,29.02972,0.00499,47.88814
"17","2014_Q2",39.1865079365079,"Up",633442000,-147684000,485758000,-286499000,-17576000,-185167000,-83756000,199259000,-117309000,-113049000,-4260000,81950000,-30000,81920000,-240000,81680000,82732000,-3597000,79135000,-1036000,78099000,37209000,37209000,91081000,91081000,128290000,22072253000,27065130000,-4992877000,689088000,205068000,484020000,22761341000,22889631000,427737000,161838000,78140000,187759000,5465626000,5465626000,321043000,321043000,6214406000,5477656000,72735000,72735000,5550391000,11764797000,5e+07,8544657000,1944798000,-162894000,10376561000,748273000,11124834000,22889631000,10943282000,0.76685,0.31457,0.12329,0.00702,0.00341,0.02064,1.05753,0.47809,0.21666,0.2075,1.75727,28.64749,0.01416,54.73315
"18","2014_Q3",42.016875,"Up",652568000,-135937000,516631000,-288321000,-13752000,-190136000,-84433000,228310000,-126181000,-115924000,-10257000,102129000,15727000,117856000,-646000,117210000,117720000,-5030000,112690000,-1036000,111654000,76132000,76132000,84408000,84408000,160540000,22170651000,27341089000,-5170438000,660211000,142318000,517893000,22830862000,22991402000,434520000,168225000,78389000,187906000,5158091000,5158091000,331662000,331662000,5924273000,5923952000,74508000,74508000,5998460000,11922733000,5e+07,8530996000,1875732000,-166990000,10289738000,778931000,11068669000,22991402000,11082043000,0.79169,0.34986,0.1711,0.01009,0.00486,0.0271,1.07716,0.48201,0.30945,0.29607,1.80862,28.37994,0.01319,48.206
"19","2014_Q4",45.38875,"Up",664078000,-138546000,525532000,-282258000,-9968000,-190469000,-81821000,243274000,-126455000,-118251000,-8204000,116819000,114693000,231512000,-260000,231252000,231190000,-9446000,221744000,-1037000,220707000,31478000,31478000,84945000,84945000,116423000,22260605000,27574865000,-5314260000,631066000,128100000,502966000,22891671000,23008094000,477808000,203070000,86472000,188266000,5536960000,5536960000,349371000,349371000,6364139000,5420646000,75738000,75738000,5496384000,11860523000,5e+07,8577798000,1915344000,-164806000,10378336000,769235000,11147571000,23008094000,10957606000,0.79137,0.36633,0.33235,0.0198,0.00959,0.01829,1.06396,0.47625,0.61068,0.58395,1.83747,28.57797,0.01814,44.91285
