"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q2",35.94671875,"Up",658494000,-254381000,404113000,-266001000,-227232000,-38769000,138112000,-26007000,-44276000,18269000,112105000,-81202000,30903000,-9250000,21653000,4950000,4950000,26603000,15349000,15349000,7357623630.96999,9093103118.31883,-36652030.6232727,-36652030.6232727,-3326673761.94096,13910539371.0294,-2005138329.46092,-208236133.956209,12834313900.4488,17904837209.4351,6342229.3141039,-64325990298.8437,-43692612522.4267,-19510080466.1687,-1173278104.59606,-64275711506.0494,-46370874296.6143,-2219718354.41432,-2272203166.60996,-4848616526.45661,5938702422.89305,5918453340.42226,-1129632457.97788,19655371307.9095,-16080472083.4364,-1957332303.33585,-14123139780.1006,3574899224.47306,2445266766.49518,-1057672.18132365,-46435874840.5903,11979827985.0987,2229190476.8409,-47749580989.4723,-48816141063.1095,-46370874296.6143,26603000,66819000,47229000,-199398000,-58747000,-33645000,-3645000,0,-37290000,-100723000,-24610000,-110950000,-206987000,-206987000,-412000,-207399000,204931000,0,-18862000,0.61369,0.20974,0.02331,-18.8183007712854,0.0927217865034202,-1.22887,11.5596718984952,169.274489242629,4.91119398631819,0.13801,0.13561,5.92086,-460.295229554312,-0.1696,0.0392373241528874,-0.759984042203087,-134.584070856108,-658.938003816516
"2","2013_Q3",40.2221875,"Up",712148000,-273413000,438735000,-277695000,-244302000,-33393000,161040000,-25634000,-42334000,16700000,135406000,-64645000,70761000,-29012000,41749000,6362000,6362000,48111000,34999000,34999000,2761005315.485,3576548559.15941,369982984.688364,369982984.688364,-1281075380.97048,7565155185.51468,-878292164.730462,-136624066.978105,6603745450.22442,9415068104.71756,210119114.657052,-28307660149.4218,-19834169761.2134,-7980111233.08434,-514813552.298029,-28076751753.0247,-18661683648.3071,-913782177.207162,-940024583.304979,-1822359763.22831,2977526711.44653,2968919170.21113,241384771.01106,10096424653.9547,-6181162041.71821,-550524151.667924,-5630637890.05028,3915262612.23653,4156647383.24759,-502336.090661826,-21092525420.2952,5540170992.54933,925491238.420451,-22388198994.7361,-22818331031.5547,-18661683648.3071,48111000,68232000,23328000,36107000,175778000,-13384000,0,-2672999.99999994,-16057000.0000001,-18635999.9999999,-18257000,4010000.00000006,163731000,163731000,1360000,165091000,229272000,2.38418579101562e-07,281007000,0.61607,0.22613,0.0491499999999996,-9.89072538564267,-0.0984491067482899,8.029,6.17307094924757,85.6587546213145,2.56153699315909,0.31102,0.29857,6.32846,-211.283989777156,2.49715,-0.156286337923556,-0.235167021101543,-43.303820428054,-265.893331908258
"3","2013_Q4",57.0553125,"Up",661319000,-257836000,403483000,-228049000,-191362000,-36687000,175434000,-28409000,-43081000,14672000,147025000,-33195000,113830000,-44655000,69175000,-14560000,-14560000,54615000,40223000,40223000,779537771.828332,1046366519.7198,604897328.229455,604897328.229455,-127328460.323494,3473438728.50489,-239707388.243487,-64231022.3260349,2765527150.07481,4730545368.23919,323498371.552351,-6981568049.80728,-5612564920.40445,-1263556077.69478,-111406517.432676,-6649946251.00823,-1919400882.76904,180127274.264279,169320472.231674,-197225254.409435,1159397903.81551,1157034390.07038,1142299923.67035,5088342884.65158,-957763347.239402,124569949.444025,-1082333296.68343,4130579537.41218,5272879461.08253,-167778.696887275,-6090181140.09839,1832744997.51644,242215412.806817,-7111079664.91205,-7192280343.85157,-1919400882.76904,54615000,61371000,56349000,-71394000,100941000,-15767000,-7e+05,-2675000,-19142000,-17235000,-8872000,6467000,88266000,88266000,211000,88477000,236805000,0,194299000,0.61012,0.26528,0.06082,-4.31735846188089,-0.152156368916097,4.83054,3.08108364974919,35.3571348737715,1.2002489977197,0.35182,0.33446,5.78445,-64.9531232590519,1.6995,-0.199295445974519,0.0183209929661522,4.47582319064868,-50.9956606360859
"4","2014_Q1",70.862131147541,"Up",92720000,-100973000,-8252999.99999994,99967000,88583000,11384000,91714000,-40497000,-43915000,3418000,51217000,118655000,169872000,-60825000,109047000,-870790000,-870790000,-761743000,-775910000,-775910000,526597000,526597000,725827000,725827000,374439000,1227644000,39402000,0,7.7e+08,2854507000,372077000,3342293000,1372832000,1872926000,96535000,3717349000,6571856000,1034528000,1031439000,414929000,247215000,247215000,1696672000,3323844000,966124000,310764000,655360000,4289968000,5986640000,0,1167819000,126234000,-4915000,526018000,585216000,6571856000,-761743000,59241000,487540000,283989000,69027000,-43830000,8849999.99999999,-764652000,-799632000,681115000,-15696000,679998000,-50607000,-49794000,533000,-49261000,150955000,3738773000,451939000,-0.08901,0.98915,-8.36831,-1.32585,-0.11807,-0.58246,1.68242,10.2298,0.56891,-6.74083,-6.0314,0.80552,4.56986,3.92629,-0.14667,0.08543,21.27903,35.02383
"5","2014_Q2",66.8587301587302,"Down",470842000,-212679000,258163000,-191012000,-160066000,-30946000,67151000,-46984000,-53392000,6408000,20167000,-54865000,-34698000,-12703000,-47401000,-385877000,-385877000,-433278000,-436912000,-436912000,1115559000,1041280000,790508000,790508000,464099000,420025000,87822000,47126000,67504999.9999999,2790191000,381452000,6353930000,3522651000,2662676000,168603000,6737778000,9527969000,1621938000,1621938000,402245000,3877000,3877000.00000006,2028060000,3495646000,966900000,250872000,716028000,4462546000,6490606000,55000,3278136000,-310678000,-178000,2967335000,3037363000,9527969000,-433278000,74588000,-155393000,270288000,-243795000,-20818000,-58193000,702495000,638651000,125847000,-46216000,102402000,497258000,497258000,12000,497270000,141739000,3897891000,403912000,0.5483,0.14262,-0.92794,-0.14385,-0.04586,-0.92447,1.37579,2.13692,0.4091,-3.40978,-3.40978,3.67458,23.15745,3.15224,-0.05529,0.05111,19.62997,41.43396
"6","2014_Q3",65.8721875,"Down",592848000,-303445000,289403000,-154772000,-124366000,-30406000,134631000,-45587000,-52183000,6596000,89044000,-43661000,45383000,-4807999.99999999,40575000,-20189000,-20189000,20386000,21160000,21160000,1473523000,1427244000,875932000,875932000,427199000,388123000,44072000,67305000,65777000,3164777000,386856000,6407022000,3533150000,2671908000,200528000,6797129000,9961906000,1989757000,1989757000,185631000,847000,0,2176235000,4229895000,711156000,229240000,481916000,4941051000,7117286000,54000,3048762000,-289518000,48191000,2807489000,2844620000,9961906000,20386000,78230000,70255999.9999999,25440000,194312000,-24561000,-90374000,28794000,-53458000,490220000,-18755000,240406000,381260000,398673000,4704000,403377000,212861000,4415526000,218548000,0.48816,0.22709,0.0356899999999993,0.00744,0.00212,10.32836,1.45424,2.50202,0.44324,0.13887,0.12952,3.8909,18.42536,1.43434,0.00265,0.02742,13.82124,21.85234
"7","2014_Q4",68.50578125,"Up",654116000,-341193000,312923000,-169714000,-148901000,-20813000,143209000,-56226000,-61950000,5724000,86983000,-7890000,79093000,-30140000,48953000,-301002000,-301002000,-252049000,-252084000,-252084000,713865000,708529000,1039835000,1039835000,503611000,724192000,36938000,51594000,215157000,2981503000,413886000,7191576000,3804959000,3133963000,251902000,7608046000,10589549000,2110503000,2110503000,153229000,1023999.99999994,5.96046447753906e-08,2264756000,4219309000,1575292000,488682000,1086610000,5794601000,8059357000,51000,3076358000,-541602000,-44086000,2490721000,2530192000,10589549000,-252049000,80194000,-140121000,605181000,293205000,-16747000,-849511000,-146551000,-975554000,6219000,252000,-30103000,-712452000,-712452000,-6263000,-718715000,223403000,4372538000,841977000,0.47839,0.21894,-0.38538,-0.09963,-0.0238,-3.34007,1.31648,3.18527,0.41291,-1.64429,-1.58568,4.26665,16.24608,5.49203,-0.02973,0.09931,16.37701,25.54779
"8","2015_Q1",83.6414754098361,"Up",662877000,-374180000,288697000,-165196000,-134653000,-30543000,123501000,-45993000,-59589000,13596000,77508000,-67411000,10097000,9384000,19481000,-72724000,-72724000,-53243000,-53483000,-53483000,406511000,405696000,1118720000,1118720000,414995000,3171828000,38680000,52326000,530930000,5112054000,387052000,5323557000,2897775000,2332250000,88599000,5712115000,10824169000,1438326000,1438326000,155937000,1571713000,1571691000,3165976000,4100627000,1149353000,677486000,471867000,5249980000,8415956000,48000,3093882000,-595085000,-124088000,2374757000,2408213000,10824169000,-53243000,98639000,165450000,-105274000,105572000,-23125000,-33910999.9999999,-338102000,-393010000,-16556000,-284163000,-9847999.99999994,-297286000,-300343000,-2490000,-302833000,222140000,4256564000,84356999.9999999,0.43552,0.18631,-0.08068,-0.02221,-0.00494,-1.57727,1.61469,3.49469,0.39325,-0.34781,-0.30312,4.31078,15.44305,0.548580000000001,-0.00684,0.0108,17.33165,31.17427
"9","2015_Q2",86.3468253968254,"Up",714128000,-384266000,329862000,-229475000,-211578000,-17897000,100387000,-61144000,-73139000,11995000,39243000,-55620000,-16377000,166869000,150492000,-226210000,-226210000,-75718000,-75718000,-75718000,378564000,377461000,1235383000,1235383000,611401000,3102521000,54601000,169753000,534162000,5327869000,406757000,8407702000,3025070000,5070074000,309539000,8817808000,14145677000,1589090000,1546271000,160613000,1692317000,1692233000,3442020000,5386547000,1177394000,754258000,423136000,6563941000,10005961000,42000,5067580000,-670803000,-257221000,4139598000,4139716000,14145677000,-75718000,119590000,123012000,-256692000,-89808000,-17189000,-907180000,-6115000,-930484000,1039287000,-62014000,996861000,-23431000,-23431000,-7861000,-31292000,219977000,5547160000,-220773000,0.46191,0.14057,-0.10603,-0.01829,-0.00535,2.91573,1.54789,2.41706,0.39215,-0.44631,-0.42821,4.20934,24.40013,-1.30132,-0.00697,-0.02032,23.49607,51.48671
"10","2015_Q3",80.04546875,"Down",735166000,-438858000,296308000,-173475000,-154491000,-18984000,122833000,-105104000,-80611000,-24493000,17729000,-121343000,-103614000,12720000,-90894000,-159632000,-159632000,-250526000,-250419000,-250419000,2530628000,2529735000,1318286000,1318286000,625767000,3062272000,51565000,109817000,484788000,7536953000,413931000,8177007000,3044307000,4914393000,215296000,8594961000,16131914000,1715093000,1703731000,68423000,1703926000,1703926000,3487442000,5361230000,1131304000,719902000,411402000,6492534000,9979976000,45000,7322123000,-921221000,-249077000,6151870000,6151938000,16131914000,-250526000,129591000,69948000,63308999.9999999,12322000,-21432000,-4053000,49604000,24142999.9999995,-116466000,-70120000,2119547000,2156012000,2156012000,-3738000,2152274000,252424000,5429653000,281581000,0.40305,0.16708,-0.34063,-0.04071,-0.01552,-1.12444,2.16117,1.62225,0.33658,-1.35122,-1.35122,3.96684,33.19426,1.51937,-0.0197,0.02215,11.48474,23.60135
"11","2015_Q4",60.76546875,"Down",745727000,-442459000,303268000,-184548000,-163221000,-21327000,118720000,-146537000,-96446000,-50091000,-27817000,-936828000,-964645000,160939000,-803706000,-246782000,-246782000,-1050488000,-1050442000,-1050442000,836879000,836111000,1837558000,1837558000,946650000,1178389000,104081000,78102000,511562000,4799476000,655950000,16021963000,6667168000,9088203000,265410000,16681383000,21480859000,2390426000,2330285000,89835000,1479994000,1479957000,3960255000,8889494000,2235056000,1863413000,371643000,11124550000,15084805000,45000,8676367000,-1971664000,-308684000,6396064000,6396054000,21480859000,-1050488000,132771000,835225000,-17454000,-99946000,-12323000,-5014413000,-27742000,-5054155000,3495987000,-44524000,3454138000,-1699963000,-1699963000,6339000,-1693624000,251491000,8979329000,60775000,0.40667,0.1592,-1.40861,-0.16423,-0.0489,-0.05786,1.21191,2.35845,0.41802,-5.01946,-5.01946,3.5634,30.56289,0.29041,-0.05965,0.00345,32.37671,68.58533
"12","2016_Q1",47.2259016393443,"Down",1073697000,-810068000,263629000,-256003000,-212014000,-43989000,7626000,-124120000,-123018000,-1102000,-116494000,-236734000,-353228000,796937000,443709000,-562302000,-562302000,-118593000,-118463000,-118463000,272382000,272348000,1014808000,1014808000,752493000,1412854000,55052000,735901000,585379000,3452537000,675624000,15218320000,7299354000,7828942000,79601000,15897799000,19350336000,1518666000,1510115000,328705000,1626941000,1626941000,3474312000,8251657000,1656391000,871040000,785351000,9908048000,13382360000,43000,8693407000,-2341215000,-384205000,5968030000,5967976000,19350336000,-118593000,250804000,228801000,-65079000,295933000,-74798000,-133623000,-15730000,-223268000,-189889000,-131697000,-568554000,-495889000,-494892000,-6009000,-500901000,258430000,8580362000,-678384000,0.24553,0.0071,-0.11033,-0.01985,-0.00612,5.72655,0.99373,2.24236,0.44342,-0.52851,-0.545980000000001,4.79019,26.62556,-3.02654,-0.00731,-0.04186,32.14789,1089.42827
"13","2016_Q2",20.7175,"Down",963539000,-688705000,274834000,-220047000,-178355000,-41692000,54787000,-114886000,-116793000,1907000,-60099000,-147379000,-207478000,118715000,-88763000,-45108000,-45108000,-133871000,-133869000,-133869000,222007000,221968000,867829000,867829000,670454000,1319613000,47728000,749917000,521968000,3079903000,674097000,14880359000,7424782000,7354386000,92254000,15556897000,18636800000,1299940000,1291266000,335579000,1571448000,1571448000,3206967000,8229191000,1276496000,659323000,617173000,9505687000,12712654000,46000,8703542000,-2475084000,-304358000,5924146000,5924146000,18636800000,-133871000,236089000,123649000,-271634000,-45767000,-38998000,6421000,63647000,31070000,-21859000,-20177000,-38650000,-53347000,-53347000,2967000,-50380000,290876000,8564770000,-138471000,0.28523,0.05686,-0.13893,-0.0226,-0.00718,1.03438,0.96038,2.1459,0.45956,-0.60219,-0.60219,4.33437,26.64888,-0.6229,-0.00849000000000001,-0.00878,28.68151,152.27632
"14","2016_Q3",19.8796875,"Down",920887000,-632218000,288669000,-243659000,-193070000,-50589000,45010000,-117094000,-111919000,-5175000,-72084000,-93380999.9999999,-165465000,555277000,389812000,-46216000,-46216000,343596000,343578000,343578000,667855000,667822000,875058000,875058000,626320000,481183000,45992000,46631000,388560000,2650416000,673294000,14609619000,7417237000,7096659000,86191000,15285119000,17935535000,1366127000,1358978000,117454000,1455259000,1455259000,2938840000,8199888000,535269000,142089000,393180000,8735157000,11673997000,44000,8719096000,-2131506000,-326096000,6261538000,6261538000,17935535000,343596000,240822000,-364871000,384831000,604378000,-27707000,210000,133432000,105935000,-254881000,-9365000,-262951000,447362000,447362000,-1508000,445854000,285832000,8317342000,87679000,0.31347,0.04888,0.37309,0.05487,0.01916,0.25519,0.90186,1.8644,0.46374,1.54301,1.54166,4.13571,28.12044,0.39377,0.02273,0.0058,26.76218,169.95083
"15","2016_Q4",17.5996825396825,"Down",884335000,-557472000,326863000,-231620000,-186735000,-44885000,95243000,-109318000,-112184000,2866000,-14075000,-131236000,-145311000,-46185000,-191496000,-27423000,-27423000,-218919000,-218919000,-218919000,561577000,561577000,669815000,669815000,624302000,391742000,75568000,40428999.9999999,275745000,2247436000,671618000,14762087000,7411620000,6975578000,371156000,15436066000,17683502000,1257267000,1251508000,124250000,1280785000,1280785000,2662302000,8170618000,799721000,178271000,621450000,8970339000,11632641000,49000,8733382000,-2350425000,-332145000,6050861000,6050861000,17683502000,-218919000,239421000,209910000,-345646000,-115234000,-40588000,-30339000,112754000,41861000,-28894000,-5297000,-32910000,-106283000,-106283000,38000,-106245000,334664000,8294868000,-5385000,0.36961,0.1077,-0.24755,-0.03618,-0.01238,0.0246,0.84417,1.92248,0.46907,-0.98273,-0.98273,3.96978,27.16207,-0.02417,-0.01445,-0.00036,23.10763,81.1953699999999
"16","2017_Q1",12.4224193548387,"Down",1241513000,-756578000,484935000,-258774000,-212568000,-46206000,226161000,-111043000,-111783000,740000.000000001,115118000,-3520720000,-3405602000,72277000,-3333325000,-4531000,-4531000,-3337856000,-3337856000,-3337856000,517250000,517250000,992153000,992153000,555671000,524385000,77523000,47803000,282074000,2589459000,669596000,11013787000,4729395000,5859297000,417278000,11685650000,14275109000,1463350000,1454084000,131125000,1040270000,1040270000,2634745000,8141378000,797397000,192297000,605100000,8938775000,11573520000,42000,8743262000,-5688281000,-353434000,2701589000,2701589000,14275109000,-3337856000,266977000,3319415000,-163770000,84766000,-50769000,4184000,-309833000,-356418000,-30727000,-33057000,-62675000,-334327000,-346071000,-1061000,-347132000,493138000,8272503000,206322000,0.3906,0.18217,-2.68854,-1.23552,-0.23382,-0.06181,0.98281,4.28397,0.57951,-14.97683,-14.99001,5.57062,12.12174,0.92576,-0.28355,0.01753,15.72633,34.29085
"17","2017_Q2",11.74,"Down",1037600000,-668962000,368638000,-220249000,-177240000,-43009000,148389000,-109962000,-111999000,2037000,38427000,-215778000,-177351000,11928000,-165423000,-8405000,-8405000,-173828000,-173828000,-173828000,617589000,617589000,689602000,689602000,549138000,476392000,39668000,45619000,278245000,2332721000,670847000,10213359000,4650327000,5487865000,67532000,10885929000,13218650000,1237710000,1219278000,25612000,795842000,795842000,2059164000,8224559000,746874000,155274000,591600000,8971433000,11030597000,43000,8761590000,-6234934000,-338646000,2188053000,2188053000,13218650000,-173828000,286855000,198871000,-144135000,167763000,-27202000,16217000,0,-10985000,-28894000,-24300000,-53194000,103584000,95031000,1483000,96514000,435244000,8250171000,251979000,0.35528,0.14301,-0.16753,-0.0794400000000004,-0.01315,-1.44959,1.13285,5.04128,0.62413,-0.77945,-0.77945,4.65262,9.81109,1.12988,-0.0155399999999999,0.02253,17.53633,51.43631
"18","2017_Q3",9.63349206349206,"Down",875731000,-539401000,336330000,-196424000,-155555000,-40869000,139906000,-115038000,-121747000,6709000,24868000,-778368000,-753500000,57480000,-696020000,-700498000,-700498000,-1396518000,-1396518000,-1396518000,616534000,616534000,580123000,580123000,489752000,588606000,33325000,24295000,364796000,2275015000,637820000,9362761000,4447314000,4836087000,78561000,10003075000,12278090000,1238599000,1233336000,34150000,954198000,954198000,2226947000,8251289000,990748000,79805000,910943000,9242037000,11468984000,46000,8768327000,-7631452000,-327815000,809106000,809106000,12278090000,-1396518000,212801000,647894000,707146000,171323000,-32527000,2314000,0,-30213000,26344000,-72733000,-46389000,94721000,82149000,1443000,83591999.9999999,352707000,8285439000,969846000,0.38406,0.15976,-1.59469,-1.726,-0.11374,-0.69447,1.02158,14.17488,0.67481,-6.25798,-6.25798,3.92426,3.6255,4.34601,-0.13847,0.09616,21.74299,54.8147
