"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",18.8569841269841,"Up",105418000,-85494000,19924000,-8445000,-8445000,11479000,-7088000,-7088000,4391000,4391000,-3007000,1384000,1195000,1195000,1195000,42722000,2377000,22497000,22497000,29937000,15279000,15279000,110435000,69910000,629092000,562543000,699002000,809437000,60063000,60063000,65074000,381951000,145511000,145511000,527462000,592536000,216901000,809437000,1195000,7138000,3025000,11945000,662000,-1038000,-1038000,12532000,11678000,-20366000,-2044000,-22317000,1306000,845000,845000,18617000,386962000,0.189,0.10889,0.01134,0.00551,0.00148,1.69707,2.73183,0.47806,0.02996,0.0298,2.64292,0.51059,5,0.02877,17.04268,18.49063,29.98867
"2","2010_Q3",18.09859375,"Down",128978000,-97295000,31683000,-9401000,-9401000,22282000,-7089000,-7089000,15193000,15193000,-3365000,11828000,11743000,11743000,11743000,40264000,5658000,28044000,28044000,20887000,66605000,66605000,155800000,69139000,571182000,510252000,640321000,796121000,57009000,57009000,62020000,382255000,143122000,143122000,525377000,587397000,208724000,796121000,11743000,7220000,9340000,20448000,190000,-1210000,-1210000,5280999.99999999,3354000,-20393000,-37000,-20388000,3414000,3281000,3281000,29502000,387266000,0.24565,0.17276,0.09105,0.05626,0.01475,2.51209,2.81423,0.48644,0.29377,0.29191,3.22663,0.51017,7,0.04348,1.73661,11.76198,15.5732
"3","2010_Q4",17.64890625,"Down",158877000,-122205000,36672000,-10062000,-10062000,26610000,-6858000,-6858000,19752000,19752000,-1588000,18164000,18080000,18080000,18080000,71048000,5382000,27820000,27820000,25675000,45402000,45402000,169945000,67919000,568271000,509402000,636190000,806135000,68742000,68742000,73753000,383724000,140496000,140496000,524220000,597973000,208162000,806135000,18080000,9499000,21646000,51617000,-1126000,-1136000,-1136000,-31643000,-36410000,-20402000,-105000,-15210000,-3000,-276000,-276000,36109000,388735000,0.23082,0.16749,0.1138,0.08686,0.02243,2.30425,2.87263,0.48222,0.45198,0.44913,3.97172,0.51002,5,0.05219,1.12843,8.798,11.93863
"4","2011_Q1",19.7333870967742,"Up",146174000,-118359000,27815000,-11439000,-11439000,16376000,-6745000,-6745000,9631000,5535000,3364000,8899000,9376000,9376000,9376000,90842000,5593000,21278000,21278000,24375000,25299000,11953000,161794000,67174000,552743000,503689000,619917000,781711000,51504000,51504000,66032000,382116000,129124000,129124000,511240000,577272000,204439000,781711000,9376000,7347000,18457000,42105000,-1866000,-1831000,-1831000,-19720000,-24098000,-20417000,-139000,-21665000,-3658000,211000,211000,23723000,387127000,0.19029,0.11203,0.06414,0.04586,0.01199,2.45024,2.82369,0.49523,0.23427,0.23269,3.65232,0.51014,6,0.04134,2.17758,12.48936,18.09264
"5","2011_Q2",19.9898412698413,"Up",122233000,-93148000,29085000,-11927000,-11927000,17158000,-7879000,-7879000,9279000,9279000,-1583000,7696000,7696000,7696000,7696000,80774000,6589000,20507000,20507000,21841000,21737000,21737000,144859000,65640000,546915000,500087000,612555000,757414000,62484000,62484000,78995000,367943000,118281000,118281000,486224000,565219000,192195000,757414000,7696000,8666000,-672000,20221000,-888000,-1e+06,-1e+06,11102000,8083000,-20468000,-2006000,-27308000,996000,996000,996000,25824000,384454000,0.23795,0.14037,0.06296,0.04004,0.01016,1.83377,2.94086,0.50759,0.19202,0.191,3.04986,0.5107,7,0.04053,2.65956,11.7596,17.69903
"6","2011_Q3",18.218125,"Down",112370000,-85906000,26464000,-8704000,-8704000,17760000,-6612000,-6612000,11148000,11148000,-2699000,8449000,8449000,8449000,8449000,75126000,7368000,19874000,19874000,21469000,22213000,22213000,138682000,65385000,537337000,493742000,602722000,741404000,59075000,59075000,80735000,361752000,115786000,115786000,477538000,558273000,183131000,741404000,8449000,5158000,8038000,17950000,-1972000,-1993000,-1993000,5537000,1586000,-20495000,35000,-18757000,779000,779000,779000,22918000,383412000,0.23551,0.15805,0.07519,0.04614,0.0114,1.71774,3.04849,0.51714,0.2103,0.20921,2.79696,0.51013,3,0.04242,2.42573,13.4517,17.35845
"7","2011_Q4",17.6979365079365,"Down",152891000,-108419000,44472000,-7838000,-7838000,36634000,-6632000,-6632000,30002000,28822000,-3223000,25599000,25599000,25599000,25599000,80907000,6217000,26880000,26880000,26369000,24335000,24335000,158491000,61260000,532858000,493074000,594118000,752609000,64194000,64194000,85855000,362898000,113608000,113608000,476506000,562361000,190248000,752609000,25599000,9092000,3422000,33935000,-1118000,-1170000,-1170000,-7644000,-12567000,-20495000,3000,-22519000,-1151000,-1151000,-1151000,45726000,384559000,0.29087,0.23961,0.16743,0.13456,0.03401,1.84603,2.95594,0.51097,0.63699,0.63361,3.80445,0.50999,6,0.06696,0.80062,6.64069,8.2888
"8","2012_Q1",17.7782258064516,"Up",109927000,-94779000,15148000,-12080000,-12080000,3068000,-6706000,-6706000,-3638000,-4838000,3360000,-1478000,-1478000,-1478000,-1478000,70808000,7819000,13533000,13533000,28603000,21907000,9998000,134851000,61453000,549916000,491992000,611369000,746220000,47776000,47776000,77609000,363357000,163116000,163116000,526473000,604082000,142138000,746220000,-1478000,6176000,-2424000,5319000,-1360000,-1175000,-1175000,12394000,7401000,-12463000,-389000,-11118000,1602000,1602000,1602000,9244000.00000001,385018000,0.1378,0.02791,-0.01345,-0.0104,-0.00198,1.73757,4.24997,0.51596,-0.0367699999999999,-0.03654,2.73483,0.31006,3,0.01591,-8.43234,33.9907,102.41525
"9","2012_Q2",17.1174603174603,"Down",112384000,-88975000,23409000,-10890000,-10890000,12519000,-6486000,-6486000,6033000,6033000,-982000,5051000,5051000,5051000,5051000,59032000,11877000,13058000,13058000,21915000,21892000,9983000,115897000,60042000,525095000,469099000,585137000,701034000,57167000,57167000,62329000,363583000,139554000,139554000,503137000,565466000,135568000,701034000,5051000,5788000,-18480000,1672000,-987000,-989000,-989000,37339000,34212000,-12503000,-1734000,-31826000,4058000,4058000,4058000,18307000,368745000,0.20829,0.11139,0.04494,0.03726,0.00721,1.85944,4.17109,0.526,0.12546,0.12513,2.79138,0.31055,3,0.02726,2.47535,16.91774,24.73944
"10","2012_Q3",20.4390476190476,"Up",117540000,-88688000,28852000,-11762000,-11762000,17090000,-6277000,-6277000,10813000,10813000,-5733000,5080000,5080000,5080000,5080000,50194000,8548000,18207000,18207000,22848000,22930000,11021000,114179000,59055000,518371000,468978000,577426000,691605000,60022000,60022000,60035000,363615000,137385000,137385000,5.01e+08,561035000,130570000,691605000,5080000,5181000,7096000,10688000,-1425000,-1423000,-1423000,5065000,1472000,-12503000,-23999.9999999998,-15489000,-3329000,-3329000,-3329000,22271000,363628000,0.24547,0.1454,0.04322,0.03891,0.00735,1.90187,4.29681,0.52577,0.126,0.12555,2.91528,0.3101,6,0.02784,2.46122,14.07364,18.3402
"11","2012_Q4",22.2629032258065,"Up",151911000,-109806000,42105000,-13342000,-13342000,28763000,-6280000,-6280000,22483000,22483000,-3884000,18599000,18599000,18599000,18599000,62462000,9033000,24532000,24532000,29431000,22344000,10435000,138769000,58093000,511854000,467313000,569947000,708716000,67046000,67046000,75459000,357518000,135854000,135854000,493372000,568831000,139885000,708716000,18599000,8302000,6416000,30673000,-1090000,-1090000,-1090000,-12310000,-17459000,-12514000,187000,-12729000,485000,485000,485000,37065000,365931000,0.27717,0.18934,0.12243,0.13296,0.02624,1.839,4.06642,0.51633,0.4607,0.45719,3.76287,0.30997,4,0.04849,0.67283,8.18748,10.55067
"12","2013_Q1",25.5475,"Up",143299000,-103304000,39995000,-13425000,-13425000,26570000,-6496000,-6496000,20074000,20074000,-6210000,13864000,13864000,13864000,13864000,80062000,16985000,10668000,10668000,28928000,18439000,7932000,138097000,58050000,522750000,479458000,580800000,718897000,48286000,48286000,63587000,371620000,145047000,145047000,516667000,580254000,138643000,718897000,13864000,6976000,13361000,36948000,-13908000,-13908000,-13908000,-9553000,-26872000,-12521000,-2431000,-2124000,7952000,7952000,7952000,33546000,380033000,0.2791,0.18542,0.09675,0.1,0.01929,2.17178,4.18524,0.52863,0.34332,0.34061,3.54855,0.31006,7,0.03975,0.90313,8.94208,11.28984
"13","2013_Q2",26.99125,"Up",139253000,-98299000,40954000,-13596000,-13596000,27358000,-6336000,-6336000,21022000,20272000,-4785000,15487000,15487000,15487000,15487000,59717000,4279000,16006000,16006000,28757000,18446000,7939000,122926000,58333000,518976000,477274000,577309000,700235000,59007000,59007000,68020000,344769000,143638000,143638000,488407000,556427000,143808000,700235000,15487000,6867000,5580000,27934000,-2321000,-2321000,-2321000,7266000,2634000,-12552000,-1709000,-43274000,-12706000,-12706000,-12706000,34225000,353782000,0.2941,0.19646,0.11121,0.10769,0.02212,1.8072,3.86924,0.50523,0.383,0.38133,3.44382,0.31042,7,0.04373,0.81049,8.59211,10.74878
