"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",32.3572131147541,"Down",62803000,-24358000,38445000,-27137000,-19279000,-7858000,11308000,-365000,-365000,10943000,10943000,-4696000,6247000,6247000,6247000,6247000,288132000,262507000,25625000,58433000,58433000,5092000,5092000,351657000,2445000,16206000,8136000,4850000,2075000,1145000,18651000,370308000,19237000,2117000,439000,16681000,67380000,67380000,86617000,3595000,3595000,3595000,90212000,231534000,48542000,19000,280095000,280095000,370307000,6247000,858000,1536000,7584000,16225000,-9467000,-102000,-9868000,46000,46000,-991000,5366000,5366000,5366000,12166000,0,0.61215,0.18006,0.09947,0.0223,0.01687,4.05991,0.32208,0,0.04995,0.08911,0.50214,2.23951,0.02202,-23.68338,-25.48037
"2","2014_Q2",21.6350793650794,"Down",66721000,-25950000,40771000,-28214000,-19222000,-8992000,12557000,-30000,-30000,12527000,12527000,-5306000,7221000,7221000,7221000,7221000,345496000,188888000,156608000,61217000,61217000,9994000,5500000,416707000,2494000,15923000,7786000,4850000,2075000,1212000,18417000,435124000,26359000,3098000,866000,22395000,74872000,74872000,101231000,3607000,1909000,3607000,104838000,274491000,55763000,31000,330285000,330285000,435123000,7221000,930000,3596000,6383000,18130000,-131249000,-223000,-131771000,685000,685000,40058000,-73583000,-73583000,-73619000,13487000,0,0.61107,0.1882,0.10823,0.02186,0.0166,4.1164,0.31742,0,0.05828,0.05055,0.5385,2.6657,0.02163,-25.61696,-27.51422
"3","2014_Q3",25.746875,"Up",75664000,-28136000,47528000,-30743000,-20956000,-9787000,16785000,-101000,-101000,16684000,16684000,-7106000,9578000,9578000,9578000,9578000,350202000,140116000,210086000,61897000,61897000,8831000,3991000,420930000,27025000,16286000,7155000,4850000,2075000,2206000,43311000,464241000,17954000,1798000,932000,15224000,85303000,85303000,103257000,3597000,1899000,3597000,106854000,292151000,65341000,-106000,357386000,357386000,464240000,9578000,991000,3862000,2177000,16608000,-54013000,4000,-78992000,7478000,7478000,13633000,-48751000,-48751000,-48772000,17776000,0,0.62815,0.22184,0.12659,0.0268,0.02063,4.07653,0.29899,0,0.07523,0.06681,0.59431,2.80712,0.02653,-19.70083,-20.86399
"4","2014_Q4",28.11734375,"Up",83825000,-30416000,53409000,-33468000,-22833000,-10635000,19941000,-989000,-989000,18952000,18952000,-8694000,10258000,10258000,10258000,10258000,392866000,132135000,260731000,45241000,45241000,9258000,4524000,447365000,27613000,17575000,6615000,4850000,2151000,3959000,45188000,492553000,23092000,2147000,1595000,19350000,84668000,84668000,107760000,3586000,1888000,3586000,111346000,305631000,75599000,-24000,381206000,381206000,492552000,10258000,1022000,4092000,18884000,34256000,-51159000,-73000,-52022000,2102000,2102000,9800000,-7966000,-7966000,-7981000,20963000,0,0.63715,0.23789,0.12237,0.02691,0.02083,4.15149,0.29209,0,0.07939,0.07109,0.64874,2.95024,0.02666,-18.74092,-19.70142
"5","2015_Q1",28.177868852459,"Up",87012000,-31156000,55856000,-35173000,-23431000,-11742000,20683000,-1660000,-1660000,19023000,19023000,-5697000,13326000,13326000,13326000,13326000,397873000,129253000,268620000,92661000,92661000,6488000,6488000,497022000,28203000,19665000,6144000,4850000,4815000,3856000,47868000,544890000,22563000,3886000,3241000,15436000,112960000,112960000,135523000,2534000,2364000,2534000,138057000,317881000,88925000,26000,406832000,406832000,544889000,13326000,986000,910000,-16642000,-1420000,-8674000,-1e+05,-9233000,1499000,1499000,7771000,-2882000,-2882000,-2882000,21669000,0,0.64193,0.2377,0.15315,0.03276,0.02446,3.66744,0.33935,0,0.10217,0.09107,0.66715,3.1193,0.03255,-18.36139,-19.23672
"6","2015_Q2",27.1273015873016,"Down",89923000,-31985000,57938000,-37013000,-24056000,-12957000,20925000,763000,763000,21688000,21688000,-8706000,12982000,12982000,12982000,12982000,428508000,107561000,320947000,70217000,70217000,6235000,6235000,504960000,35173000,28530000,8865000,11075000,4815000,3775000,63703000,568663000,25867000,5288000,5823000,14756000,111276000,111276000,137143000,2570000,2570000,2570000,139713000,327027000,101907000,15000,428949000,428949000,568662000,12982000,1024000,5555000,22230000,41791000,-53093000,-21000,-67811000,1170000,1170000,4335000,-21685000,-21685000,-21692000,21949000,0,0.64431,0.2327,0.14437,0.03026,0.02283,3.682,0.32571,0,0.09898,0.0897,0.68558,3.27035,0.03008,-19.52289,-20.47828
"7","2015_Q3",26.06078125,"Down",98107000,-33473000,64634000,-42281000,-27026000,-15255000,22353000,-445000,-445000,21908000,21908000,-8502000,13406000,13406000,13406000,13406000,437967000,119776000,318191000,67977000,67977000,11991000,11991000,517935000,44425000,29272000,8761000,10624000,4815000,5072000,73697000,591632000,24884000,3891000,2510000,18483000,109518000,109518000,134402000,3593000,3593000,3593000,137995000,338343000,115313000,-20000,453636000,453636000,591631000,13406000,1344000,6606000,-6174000,15182000,1930000,-170000,-8597000,1610000,1610000,5590000,12175000,12175000,12215000,23697000,0,0.65881,0.22784,0.13665,0.02955,0.02266,3.85363,0.3042,0,0.10172,0.09254,0.74437,3.44188,0.02932,-18.48196,-19.59321
"8","2015_Q4",26.6809375,"Up",106921000,-37012000,69909000,-49809000,-32142000,-17667000,20100000,110000,110000,20210000,20210000,-9728000,10482000,10482000,10482000,10482000,339468000,108594000,230874000,75301000,75301000,7445000,7445000,422214000,47434000,155385000,49924000,94959000,5124000,5378000,202819000,625033000,34330000,7211000,5607000,21512000,102053000,102053000,136383000,14672000,2953000,14672000,151055000,348157000,125795000,25000,473977000,473977000,625032000,10482000,2481000,7041000,-269000,19735000,86590000,0,-34155000,1368000,1368000,3185000,-11235000,-11235000,-11182000,22581000,0,0.65384,0.18799,0.09803,0.02211,0.01677,3.0958,0.3187,0,0.07916,0.07226,0.80748,3.57954,0.02145,-15.03335,-16.88896
"9","2016_Q1",24.4944262295082,"Down",114270000,-39744000,74526000,-59315000,-39218000,-20097000,15211000,-4e+05,-4e+05,14811000,14811000,2779000,17590000,17590000,17590000,17590000,346203000,132179000,214024000,144798000,144798000,9963000,9963000,500964000,47469000,157366000,47500000,95804000,9359000,4703000,204835000,705799000,28860000,4600000,750000,23510000,157419000,157419000,186279000,14271000,3649000,14271000,200550000,361691000,143385000,172000,505248000,505248000,705798000,17590000,3615000,1797000,-19556000,3446000,16184000,-199000,13880000,1737000,1737000,6296000,23622000,23622000,23585000,18826000,0,0.65219,0.13311,0.15393,0.03481,0.02492,2.68932,0.39693,0,0.13255,0.12111,0.86108,3.8073,0.03386,-18.38962,-22.76004
"10","2016_Q2",29.71125,"Up",119764000,-41091000,78673000,-60867000,-38794000,-22073000,17806000,2747000,2747000,20553000,20553000,-8044000,12509000,12509000,12509000,12509000,457435000,245942000,211493000,81776000,81776000,9163000,9163000,548374000,47659000,155759000,46415000,95804000,9865000,3675000,203418000,751792000,26322000,4630000,1753000,19939000,180776000,180776000,207098000,14148000,3861000,14148000,221246000,374192000,155894000,459000,530545000,530545000,751791000,12509000,3405000,7520000,85926000,109360000,2285000,-146000,82000,1345000,1345000,4205000,113647000,113647000,113763000,21211000,0,0.6569,0.14868,0.10445,0.02358,0.01664,2.6479,0.41702,0,0.09335,0.08585,0.89379,3.95941,0.02297,-21.56593,-25.68994
"11","2016_Q3",38.77984375,"Up",131347000,-42195000,89152000,-65330000,-41767000,-23563000,23822000,-1362000,-1362000,22460000,22460000,-9502000,12958000,12958000,12958000,12958000,479555000,210365000,269190000,88963000,88963000,18575000,18575000,587093000,47195000,152944000,44248000,95804000,9402000,3490000,200139000,787232000,31397000,6384000,3337000,21676000,176718000,176718000,208115000,14009000,4139000,14009000,222124000,395386000,168852000,869000,565107000,565107000,787231000,12958000,3470000,10609000,-15291000,11746000,-58068000,40000,-58887000,3183000,3183000,11251000,-35890000,-35890000,-35577000,27292000,0,0.67875,0.18137,0.09865,0.02293,0.01646,2.821,0.39307,0,0.0959,0.08806,0.97203,4.18207,0.02238,-17.57127,-20.13076
