"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",12.7866666666667,"Up",18165000,-4141000,14024000,-17918000,-15496000,-2422000,-3894000,-374000,-374000,-374000,-4268000,-4268000,-4268000,-4268000,-4268000,-4268000,75623686.1992156,75623686.8008037,55475214.4158691,55475214.4158691,7594805.60304998,3554299.87838987,3554299.87838987,142248006.096525,9147557.34984108,-364345.357918385,433702.508912643,-798047.866831029,8783211.99192269,151031218.088447,14410008.4313366,23079101.881436,-8669093.45009934,-26020196.7317044,-19671376.0497291,-19671376.0485558,189707156.572313,163686959.840609,-12655741.7521617,151031218.088447,-4268000,164000,2056000,657000,-1391000,-320000,-320000,32976511.9002137,27743699.6604099,-1711000,-1711000,-1711000,-3730000,0,0.77203,-0.21437,-0.23496,0.596323556215071,0.536494329105273,17.9065714730112,8.50092427713689,2.48320009778171,-0.28939,-0.28939,1.23167,0.731342880079189,155.245575531238,106.652927638373
"2","2011_Q3",13.77671875,"Up",18756000,-3972000,14784000,-16801000,-14687000,-2114000,-2017000,27000,27000.0000000001,27000.0000000001,-1990000,-1990000,-1990000,-1990000,-1990000,-1990000,43282843.0996078,43282843.4004019,32752607.2079346,32752607.2079346,5369902.80152499,1548149.93919494,1548149.93919494,82953503.0482623,5344278.67492054,1777827.32104081,1433851.25445632,343976.066584486,7122105.99596135,90075609.0442236,12639504.2156683,12720050.940718,-80546.7250496717,-1929598.36585218,-7319188.02486455,-7319188.02427788,86331578.2861567,84401979.9203045,5673629.12391915,90075609.0442236,-1990000,173000,1342000,-1588000,-2063000,-671000,-671000,8910837.30007124,3268000,534000.000000002,534000.000000002,534000.000000002,-1844000,0,0.78823,-0.10754,-0.1061,0.234631778107536,0.222932164552636,9.01099573650561,4.37525213856845,1.20942504889086,-0.12503,-0.12503,1.17845,0.302451440039594,82.0381977656191,57.3860488191863
"3","2011_Q4",9.10396825396825,"Down",20152000,-3950000,16202000,-18194000,-16414000,-1780000,-1992000,-392000,-392000,-392000,-2384000,-2384000,-2384000,-2384000,-2384000,-2384000,26577947.6998693,26577947.800134,19464869.0693115,19464869.0693115,5016967.60050833,769049.979731645,769049.979731645,51828834.3494208,3248426.22497351,2922609.1070136,2022617.08481877,899992.022194828,6171035.33198712,57999869.6814079,11418168.0718894,7220350.31357266,4197817.75831678,10658467.2113826,-767062.67495485,-767062.674759292,30917192.7620522,41575659.9734348,16424209.707973,57999869.6814079,-2384000,181000,1427000,-2920000,-3696000,-263000,-263000,453000,37000,-3922000,-3922000,-3922000,-1811000,0,0.80399,-0.09885,-0.1183,0.00807059270251187,0.0371207215175455,4.35252191216854,2.09597071285615,0.522958349630286,-0.14979,-0.14979,1.26616,0.0502938133465314,36.708675921873,26.5601629397288
"4","2012_Q1",9.46193548387097,"Up",21707000,-4214000,17493000,-18399000,-15775000,-2624000,-906000,-1577000,-1577000,-1577000,-2483000,-2483000,-2483000,-2483000,-2483000,-2483000,21159000,21159000,13254000,13254000,5818000,797000,797000,41028000,2383000,3347000,2314000,1033000,5730000,46758000,10726000,5181000,5545000,15186000,1606000,1606000,9937000,25123000,21635000,46758000,-2483000,198000,2441000,-1367000,-1211000,-483000,-483000,1070000,4235000,2541000,2541000,2541000,-708000,12144000,0.80587,-0.04174,-0.11439,-0.11477,-0.0531,2.7017,1.16122,0.25972,-0.15601,-0.15601,1.36386,-0.07017,12.73305,9.95033
"5","2012_Q2",9.26349206349206,"Down",18660000,-4346000,14314000,-17414000,-15350000,-2064000,-3100000,-759000,-759000,-759000,-3859000,-3859000,-3859000,-3859000,-3859000,-3859000,22676000,22676000,11762000,11762000,7055000,1212000,1212000,42705000,2271000,3328000,2422000,906000,5599000,48304000,10543000,5203000,5340000,15095000,1421000,1421000,9864000,24959000,23345000,48304000,-3859000,221000,1836000,-232000,-2034000,-217000,-217000,3225000,3768000,1517000,1517000,1517000,-2879000,12348000,0.7671,-0.16613,-0.20681,-0.1653,-0.07989,2.82908,1.06914,0.25563,-0.22068,-0.22068,1.06708,-0.10398,3.58736,3.33161
"6","2012_Q3",9.77365079365079,"Up",19718000,-4560000,15158000,-18817000,-15733000,-3084000,-3659000,-476000,-476000,-476000,-4135000,-4135000,-4135000,-4135000,-4135000,-4135000,24558000,24558000,12460000,12460000,7963000,1413000,1413000,46394000,2388000,3225000,2499000,726000,5613000,52007000,10933000,5633000,5300000,14265000,439000,439000,15842000,30107000,21900000,52007000,-4135000,227000,1398000,-1648000,-4158000,-421000,-421000,385000,6461000,1882000,1882000,1882000,-3432000,17740000,0.76874,-0.18557,-0.20971,-0.18881,-0.07951,3.2523,1.37475,0.34111,-0.23255,-0.23255,1.10892,-0.10317,1.9866,1.86335
"7","2012_Q4",11.7067741935484,"Up",21205000,-5132000,16073000,-19794000,-16809000,-2985000,-3721000,-470000,-470000,-470000,-4191000,-4191000,-4191000,-4191000,-4191000,-4191000,22455000,22455000,12990000,12990000,7824000,980000,980000,44249000,2257000,3315000,2659000,656000,5572000,49821000,11876000,5072000,6804000,16138000,281000,281000,14344000,30482000,19339000,49821000,-4191000,228000,1244000,444000,-2275000,-257000,-257000,429000,429000,-2103000,-2103000,-2103000,-3493000,17541000,0.75798,-0.17548,-0.19764,-0.21671,-0.08412,2.74191,1.57619,0.35208,-0.23312,-0.23312,1.17951,-0.11278,1.40681,1.32061
"8","2013_Q1",16.1831666666667,"Up",22907000,-5178000,17729000,-21715000,-18474000,-3241000,-3986000,-619000,-619000,-619000,-4605000,-4605000,-4605000,-4605000,-4605000,-4605000,35529000,35529000,13644000,13644000,7061000,1536000,1536000,57770000,2163000,3191000,2635000,556000,5354000,63124000,12872000,5610000,7262000,17852000,241000,241000,13083000,30935000,32189000,63124000,-4605000,196000,1577000,-41000,-2873000,-80000,-80000,389000,16027000,13074000,13074000,13074000,-3790000,17520000,0.77396,-0.17401,-0.20103,-0.14306,-0.07295,3.23605,0.96104,0.27755,-0.2437,-0.2437,1.21224,-0.09219,4.75172,4.51806
"9","2013_Q2",19.42328125,"Up",23293000,-5254000,18039000,-23245000,-20023000,-3222000,-5206000,-4000,-4000,-4000,-5210000,-5210000,-5210000,-5210000,-5210000,-5210000,32213000,32213000,13467000,13467000,6962000,1249000,1249000,53891000,2122000,4073000,2903000,1170000,6195000,60086000,14287000,5595000,8692000,19287000,192000,192000,11813000,31100000,28986000,60086000,-5210000,238000,1426000,1754000,-1792000,-324000,-324000,2076636.22130716,-1200000,-3316000,-3316000,-3316000,-4968000,16299000,0.77444,-0.2235,-0.22367,-0.17974,-0.08671,2.79416,1.07293,0.27126,-0.25543,-0.25543,1.14198,-0.11456,3.2033,3.05686
"10","2013_Q3",20.81578125,"Up",25309000,-5958000,19351000,-24473000,-20418000,-4055000,-5122000,-645000,-645000,-645000,-5767000,-5767000,-5767000,-5767000,-5767000,-5767000,29223000,29223000,13020000,13020000,7161000,1124000,1124000,50528000,2342000,3777000,2938000,839000,6119000,56647000,11958000,5012000,6946000,16938000,151000,151000,10551000,27489000,29158000,56647000,-5767000,265000,1990000,-1983000,-5495000,-460000,-460000,3404000,2965000,-2990000,-2990000,-2990000,-4857000,15078000,0.76459,-0.20238,-0.22786,-0.19778,-0.10181,2.98311,0.94276,0.26617,-0.27861,-0.27861,1.2227,-0.12993,2.91229,2.76162
"11","2013_Q4",29.095625,"Up",26474000,-6241000,20233000,-25643000,-21650000,-3993000,-5410000,-809000,-809000,-809000,-6219000,-6219000,-6219000,-6219000,-6219000,-6219000,67897000,67897000,14730000,14730000,6243000,959000,959000,89829000,2999000,4069000,3219000,850000,7068000,96897000,17162000,7230000,9932000,22413000,180000,180000,7652000,30065000,66832000,96897000,-6219000,279000,2353000,1510000,-2077000,-676000,-676000,1941000,43462000,40709000,40709000,40709000,-5131000,12567000,0.76426,-0.20435,-0.23491,-0.09305,-0.06418,4.0079,0.44986,0.12969,-0.28941,-0.28941,1.23199,-0.07815,10.78347,10.22736
"12","2014_Q1",33.027868852459,"Up",28821000,-6929000,21892000,-28573000,-24627000,-3946000,-6681000,-160000,-160000,-160000,-6841000,-6841000,-6841000,-6841000,-6841000,-6841000,67897000,67897000,14730000,14730000,6243000,959000,959000,89829000,2999000,4069000,3219000,850000,7068000,96897000,17318000,7230000,10088000,22413000,180000,180000,7652000,30065000,66832000,96897000,-6841000,191000,2120000,3129000,-1401000,-995000,-995000,582000,361000,-2035000.00000001,-2035000.00000001,-2035000.00000001,-6490000,12567000,0.75959,-0.23181,-0.23736,-0.10236,-0.0706,4.0079,0.44986,0.12969,-0.28317,-0.28317,1.19299,-0.08596,8.52542,8.28169
"13","2014_Q2",28.8334920634921,"Down",29766000,-6864000,22902000,-29749000,-25371000,-4378000,-6847000,-445000,-445000,-445000,-7292000,-7292000,-7292000,-7292000,-7292000,-7292000,103718462.177629,103717817.86417,14443751.9705181,14443751.9705181,7964453.18340705,1367323.99698026,1367323.99698026,127493991.328534,3644650.04208267,3775177.19221439,3324785.81895686,450391.373257529,7419827.23429705,134913818.562831,16760699.0294771,6763466.19287149,9997232.83660561,22143141.2539435,121007.094236286,121005.837555362,4033661.95719897,26176803.2111424,108737015.351689,134913818.562831,-7292000,321000,2524000,-1171000,-5618000,-411000,-411000,2559000,1359000,-4670000,-4670000,-4670000,-6526000,0,0.7694,-0.23003,-0.24498,-0.0865800304288516,-0.0624015619366754,5.64283966598482,0.326964097277443,0.0894029820811535,-0.29461,-0.29461,1.2026,-0.0736725414789796,14.104735303646,13.518573935558
