"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",19.9855555555556,"Up",46685000,-31964000,-6896000,-11587000,-13481000,14721000,-7622000,-10651000,3029000,7099000,12184000,19283000,-168000,19115000,19115000,2480000,21595000,21595000,2067843087.23721,2067843087.23721,2868527687.94758,-2874263695.84886,2698234753.24403,-246945083.187072,2921499630.86751,-176028942.604829,2692498745.34275,26577782.5496696,26577782.5496666,26577782.5496696,-1753550884.09299,927664041.57143,409000519.536462,-825886842.521563,-799309059.971894,632139183.859362,509028482.264787,1141167666.12415,2350640139.19049,3491807805.31464,2692498745.34275,19115000,11587000,-10868000,2343000,22177000,-128005000,-128005000,-128005000,7710000,-120295000,-12798000,91728000,-10728000,91721000,-6397000,-6397000,-6397000,26308000,0,-99186000,0.31533,0.46257,0.162458001721995,0.0904378067261703,-4.59301,89.5305173345384,-1.91955847384637,-0.620073388678204,0.3855,0.3855,0.83339,35.5365001374173,-1.77061,0.22846,-0.256103983036233,2.34236781528517,0.59264,406.116771468582,6484.75666101613
"2","2014_Q3",20.8834375,"Up",49511000,-30677000,-6879000,-11584000,-12214000,18834000,-8104000,-9534000,1430000,10730000,495000.00000003,11225000,83000,11308000,11868000,-404000.00000003,11464000,11464000,1091670043.61861,1091670043.61861,1465430343.97379,-583104847.924429,1688075876.62201,-17541.5935361385,1624074315.43376,1104971028.69759,2570401372.67137,33231891.2748348,33231891.2748333,33231891.2748348,-263056442.046497,495071020.785715,235739259.768231,232014578.739218,265246470.014053,842678591.929681,232998241.132393,1075676833.06207,1229478069.59525,2305154902.65732,2570401372.67137,11868000,11584000,-3676000.00000003,4049000,23825000,-28748000,-47906000,-47906000,-20080000,-48828000,-13016000,-34480000,21524000,39008000.0000001,14005000,14005000,14005000,30418000,0,5636000.00000001,0.3804,0.23154,0.0667390008609977,0.0375289033630851,0.49163,45.5155836672692,-0.391524236923185,-0.062581694339102,0.19743,0.19743,0.85267,25.3825750687086,0.0970599999999999,0.22416,-0.114596991518116,0.961968907642586,1.13538,225.936790734291,3302.01251050807
"3","2014_Q4",22.96546875,"Up",47660000,-32431000,-7123000,-12884000,-12424000,15229000,-7219000,-10142000,2923000,8010000,103045000,111055000,17000,111072000,111072000,-82508000,28564000,28564000,508267014.539536,508267014.539536,679411114.657929,802225050.691857,1118551292.20734,133297152.802155,895602438.477919,1920776342.8992,2600187457.55712,34333297.0916116,34333297.0916111,34333297.0916116,659770185.984501,234265340.261905,130821419.922744,894035526.246406,928368823.338018,966960863.97656,84763747.0441311,1051724611.02069,620094023.198415,1671818634.21911,2600187457.55712,111072000,12884000,-103109000,-5165000,15682000,-54086000,-66116000,-66116000,-24633000,110151000,-13585000,37418000,-130581000,-81498000,44335000,44335000,44335000,28113000,0,-31155000,0.31953,0.59933,0.0198830002869992,0.0112996344543617,-1.09071,20.8186445557564,0.490171921025605,0.265442768553633,0.47795,0.47795,0.79748,19.3993950229029,-0.52131,0.22731,-0.0310823305060388,0.223699635880862,0.4756,115.324230244764,1395.99991350269
"4","2015_Q1",26.2726229508197,"Up",35825000,-33677000,-6535000,-13590000,-13552000,2148000,110428000,3508000,104196000,112576000,-115724000,-3148000.00000001,-561000,-3709000,10091000,-650000.000000015,9441000,9441000,217580000,217580000,340224000,1505190000,875307000,184352000,589829000,2380497000,2720721000,34026000,34026000,34026000,1148187000,102551000,77051000,1250738000,1284764000,1027929000,27612000,1055541000,380416000,1435957000,2720721000,10091000,13590000,6543000,-9389000,20835000,-154544000,-154544000,-154544000,-56486000,-209544000,-13811000,13314000,31944000,275157000,86448000,86448000,86448000,15738000,1148187000,-147634000,0.05996,0.26353,0.00657,0.00347,-15.63754,9.99894,0.89471,0.42202,0.14785,0.14785,0.56102,16.52976,-2.31195,0.21628,0.00865,-0.05495,1.46287,59.13121,433.24348
"5","2015_Q2",23.9514285714286,"Down",52481000,-37333000,-7532000,-13658000,-16143000,15148000,-2228000,-8821000,6593000,12920000,27034000,39954000,-1417000,38537000,38537000,-21990000,16547000,16547000,119555000,119555000,277623000,1749254000,843989000,184500000,560499000,2593243000,2870866000,36454000,36454000,36454000,1335452000,57232000,57232000,1392684000,1429138000,1048526000,24830000,1073356000,368372000,1441728000,2870866000,38537000,13658000,-32768000,7190000,26617000,-197541000,-260765000,-260765000,-4560000,-235101000,-36779000,139330000,-10697000,110459000,-98025000,-98025000,-98025000,28806000,1335452000,-160128000,0.28864,0.3153,0.01148,0.00576,-9.67716,7.61571,0.99127,0.46517,0.24229,0.24206,0.76845,15.71647,-2.34465,0.53853,0.01881,-0.05649,2.2227,42.20985,80.26782
"6","2015_Q3",23.5540625,"Down",53161000,-35122000,-8005000,-13903000,-13214000,18039000,-6558000,-9964000,3405999.99999999,11481000,73921000,85402000,56000,85458000,85458000,-58963000,26495000,26495000,104651000,104651000,305363000,1767607000,900729000,166632000,633358000,2668336000,2973699000,37551000,37551000,37551000,1357804000,58474000,58474000,1416278000,1453829000,1050454000,38370000,1088824000,431046000,1519870000,2973699000,85458000,13903000,-77143000,4916000,27134000,17107000,-117551000,-117551000,-48759000,26952000,-16491000,-58735000,3761000.00000001,-68990000,-14904000,-14904000,-14904000,31942000,1357804000,53909000,0.33933,0.49839,0.01743,0.00891,2.03469,8.13195,0.95655,0.4566,0.38496,0.3847,0.77241,15.82018,0.78328,0.23961,0.01464,0.01836,0.62242,39.23214,69.46909
"7","2015_Q4",25.19734375,"Up",56852000,-37917000,-7603000,-17461000,-12853000,18935000,-7150000,-9345000,2195000,11785000,7017000,18802000,-698000,18104000,18104000,-4328000,13776000,13776000,72814000,72814000,253198000,1783713000,931173000,162101000,662151000,2714886000,2968084000,41461000,41461000,41461000,1348501000,63581000,63581000,1412082000,1453543000,1056656000,31519000,1088175000,426366000,1514541000,2968084000,18104000,17461000,-2256000,-1718000,31591000,-73163000,-73715000,-73715000,14015000,-46360000,-16518000,-8819000,2416000,-17068000,-31837000,-31837000,-31837000,36396000,1348501000,-37787000,0.33306,0.24231,0.0091,0.00464,-2.74296,6.1069,0.95973,0.45433,0.19982,0.1997,0.82462,15.78369,-0.54809,0.23959,0.01035,-0.01291,1.19904,35.0502,67.3719
"8","2016_Q1",25.8559016393443,"Up",36569000,-39229000,-7228000,-15729000,-16272000,-2660000,32572000,7436000,25136000,29912000,-111376000,-81464000,272000,-81192000,7871000,1019000,8890000,8890000,72776000,72776000,219964000,1828006000,984349000,173277000,811072000,2812355000,3032319000,101563000,101563000,101563000,1358606000,50796000,50796000,1409402000,1510965000,1092309000,8179000,1100488000,420866000,1521354000,3032319000,7871000,15729000,7557000,-2901000,28256000,-80523000,-50984000,-50984000,-19471000,-99994000,-16565000,52645000,-680999.999999998,71700000,-38000.0000000075,-38000.0000000075,-38000.0000000075,13069000,1358606000,-70627000,-0.0727400000000001,0.2431,0.00584,0.00293,-7.94454,2.16579,0.99317,0.44804,0.12835,0.12835,0.52797,15.88854,-1.01969,0.23916,0.00869,-0.0241,1.86333,98.38779,-483.39474
"9","2016_Q2",26.79296875,"Up",48045000,-38194000,-9352000,-16849000,-11993000,9851000,-3400000,-3400000,47310351.6540514,6451000,1954000,8405000,77000,8482000,73875000,-44950000,28925000,28925000,84860000,84860000,262724000,1819575000,1066028000,210309000,740532000,2885603000,3148327000,37962000,37962000,37962000,1332931000,148958000,148958000,1481889000,1519851000,1140986000,12228000,1153214000,475262000,1628476000,3148327000,73875000,16849000,-63652000,-9097000,17975000,54708000,-49750000,-49750000,18054000,72762000,-35112000,-64440000,-11127000,-78653000,12084000,12084000,12084000,26700000,1332931000,72234000,0.20504,0.60204,0.01776,0.00919,2.49729,6.92071,0.9333,0.42338,0.4088,0.40616,0.67902,16.29846,1.02089,0.49624,0.02059,0.02322,1.2139,46.74423,126.69485
"10","2016_Q3",28.82109375,"Up",43918000,-34482000,-8521000,-14678000,-11283000,9436000,-1482000,-1482000,56919644.0334412,7954000,1740000,9694000,-111000,9583000.00000001,26155000,-8237000,17918000,17918000,83853000,83853000,376104000,1735429000,1123507000,284238000,719622000,2858936000,3235040000,38343000,38343000,38343000,1282254000,153526000,153526000,1435780000,1474123000,1287929000,7699000,1295628000,465289000,1760917000,3235040000,26155000,14678000,-17503000,1454000,24784000,21244000,-24677000,-24677000,-180776000,-159532000,-17868000,-51794000,94080000,133741000,-1007000,-1007000,-1007000,24114000,1282254000,46923000,0.21485,0.40799,0.01018,0.00554,2.61876,9.80894,0.83713,0.39636,0.2458,0.24714,0.60247,17.77365,0.6437,0.24512,0.01119,0.01468,0.99721,49.69731,127.00307
"11","2016_Q4",26.54,"Down",43855000,-42601000,-12869000,-15217000,-14515000,1254000,-737000,-737000,54215364.3961104,517000,-102000,415000,-89000,326000,326000,5786000,6112000,6112000,49242000,49242000,338173000,2066814000,1173532000,273576000,745927000,3240346000,3578519000,40721000,40721000,40721000,1373993000,154752000,154752000,1528745000,1569466000,1500945000,-4029000,1496916000,512137000,2009053000,3578519000,326000,15217000,6692000,-8501000,13734000,-312168000,-312168000,-312168000,23202000,-288966000,-18694000,-6619000,50021000,240621000,-34611000,-34611000,-34611000,16471000,1373993000,-304109000,0.02859,0.13937,0.00304,0.00171,-49.75605,8.30463,0.7812,0.38396,0.07791,0.07768,0.55903,19.08139,-3.87652,0.23829,0.00701,-0.08596,3.05857,80.4293,1056.42026
"12","2017_Q1",25.3717741935484,"Down",54121000,-52773000,-9906000,-23267000,-19600000,1348000,36252000,-3197000,39449000,37600000,-3592000,34008000,228000,34236000,34236000,-14415000,19821000,19821000,71805000,71805000,347968000,2551448000,1096544000,272028000,824516000,3647992000,3995960000,208672000,208672000,208672000,1558847000,50316000,50316000,1609163000,1817835000,1595010000,-6433000,1588577000,589548000,2178125000,3995960000,34236000,23267000,-30891000,26743000,53355000,-258484000,-258483000,-258483000,20656000,-237828000,-19660000,74986000,44462000,192656000,8183000.00000001,8183000.00000001,8183000.00000001,24615000,1558847000,-207354000,0.02491,0.36623,0.0091,0.00496,-10.46133,1.66754,0.83459,0.39011,0.24004,0.24004,0.65542,19.23822,-2.51113,0.23809,0.01042,-0.05475,0.99188,60.41203,1103.14688
"13","2017_Q2",23.2931746031746,"Down",61999000,-52102000,-8469000,-24536000,-19097000,9897000,10199000,-2504000,12703000,20096000,10617229.4885108,20096000,-125000,19971000,19971000,-4340000,15631000,15631000,47707000,47707000,324214000,2621536000,1069152000,260497000,808655000,3690688000,4014902000,207679000,207679000,207679000,1572143000,38587000,38587000,1610730000,1818409000,1589849000,-11315000,1578534000,617959000,2196493000,4014902000,19971000,24536000,-8908000,-11110000,24489000,-61703000,-61703000,-61703000,-2680000,-39303000,-34275000,13708000,12400000,-8167000,-22981000,-22981000,-22981000,34433000,1572143000,-38255000,0.15963,0.25212,0.00712,0.00389,-2.44738,1.56113,0.82787,0.39158,0.1869,0.18687,0.7413,18.87408,-0.4574,0.40982,0.01311,-0.01005,2.19276,44.27253,154.03011
