"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","other_intangible_assets","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",19.3653968253968,"Up",3.573e+09,-1.688e+09,1.885e+09,-9.39e+08,-6.7e+08,-2.27e+08,9.46e+08,-8.6e+07,-1.16e+08,3e+06,2.7e+07,8.6e+08,-1e+06,8.59e+08,-3.61e+08,4.98e+08,4.91e+08,4.91e+08,4.91e+08,3.12e+08,3.12e+08,1.492e+09,1.492e+09,3.65e+08,1.3e+09,1e+08,3.09e+08,1668071060.71947,8.91e+08,3.469e+09,1.5683e+10,2.2455e+10,-6.772e+09,9.623e+09,1.33e+08,2.14e+08,7.296e+09,2.5306e+10,2.8775e+10,1.151e+09,1.002e+09,1.49e+08,2.67e+08,2e+08,6.7e+07,1.382e+09,1.69e+08,5.02e+08,7.11e+08,2.8e+09,7.906e+09,7.906e+09,8.859e+09,1.947e+09,8.56e+08,1.091e+09,4.416e+09,2.496e+09,1.6765e+10,1.9565e+10,4.793e+09,-5.9e+08,5.022e+09,-2.4e+07,9.201e+09,9.21e+09,2.8775e+10,4.91e+08,2.32e+08,-3.92e+08,4.1e+07,-4.33e+08,7.41e+08,7.41e+08,1.072e+09,-4.27e+08,-4.27e+08,-4.27e+08,9.8e+07,2.87e+08,-1.89e+08,1.1e+07,-3.18e+08,-1.73e+08,-4.87e+08,-5.3e+08,4.3e+07,-1.32e+08,-7.92e+08,-3.8e+07,-3.8e+07,-3.8e+07,1.178e+09,8.173e+09,1.853e+09,0.52757,0.26476,0.13742,0.05331,0.01706,3.77393,1.23893,2.12432,0.28403,0.97036,0.96844,7.06126,18.18379,3.66206,0.3419,-67.3897289883072,0.0253,0.07061,0.35234,6.67317,8.30973
"2","2010_Q3",20.298125,"Up",2.361e+09,-1.072e+09,1.289e+09,-8.58e+08,-6.01e+08,-2.29e+08,4.31e+08,-8e+07,-1.2e+08,5e+06,3.5e+07,3.51e+08,-5e+06,3.46e+08,-1.24e+08,2.22e+08,2.24e+08,2.24e+08,2.24e+08,5.7e+07,5.7e+07,1.251e+09,1.251e+09,3.67e+08,1.81e+09,4.43e+08,2.69e+08,1543035530.35974,1.098e+09,3.485e+09,1.5957e+10,2.2833e+10,-6.876e+09,9.3e+09,1.32e+08,1.69e+08,7.044e+09,2.5257e+10,2.8742e+10,1.102e+09,9.96e+08,1.06e+08,1.391e+09,5.92e+08,7.99e+08,7.56e+08,1.19e+08,3.5e+07,6.02e+08,3.249e+09,7.746e+09,7.746e+09,8.612e+09,1.788e+09,7e+08,1.088e+09,4.171e+09,2.653e+09,1.6358e+10,1.9607e+10,4.786e+09,-5.93e+08,5.072e+09,-1.39e+08,9.126e+09,9.135e+09,2.8742e+10,2.24e+08,2.33e+08,8.2e+07,3.1e+07,5.1e+07,-1.091e+09,-1.091e+09,-5.52e+08,-4.84e+08,-4.84e+08,-4.84e+08,5e+07,3e+08,-2.5e+08,-3e+06,-4.37e+08,-1.74e+08,9.9e+08,3.89e+08,6.01e+08,-8.2e+07,7.34e+08,-2.55e+08,-2.55e+08,-2.55e+08,6.64e+08,9.137e+09,-7.87e+08,0.54596,0.18255,0.09488,0.02452,0.00779,-3.51339,1.07264,2.14636,0.3179,0.44269,0.44181,4.66601,18.03557,-1.55534,0.34387,-27.3411887937639,0.0148,-0.02927,0.77679,13.6747,21.06729
"3","2010_Q4",20.2284375,"Down",3.114e+09,-1.261e+09,1.853e+09,-8.82e+08,-5.91e+08,-2.6e+08,9.71e+08,-5e+07,-1.2e+08,4e+06,6.6e+07,9.21e+08,-3e+06,9.18e+08,-3.71e+08,5.47e+08,5.67e+08,5.67e+08,5.67e+08,3.32e+08,3.32e+08,1.211e+09,1.211e+09,3.73e+08,1.755e+09,3.31e+08,2.75e+08,1168678510.11991,1.149e+09,3.671e+09,1.6463e+10,2.3458e+10,-6.995e+09,8.97e+09,1.29e+08,1.72e+08,6.955e+09,2.5433e+10,2.9104e+10,1.151e+09,9.92e+08,1.59e+08,1.004e+09,2.04e+08,8e+08,8.63e+08,1.23e+08,1.14e+08,6.26e+08,3.018e+09,8.152e+09,8.152e+09,8.369e+09,1.799e+09,7.11e+08,1.088e+09,4.232e+09,2.338e+09,1.6521e+10,1.9539e+10,4.796e+09,-5.94e+08,5.466e+09,-1.11e+08,9.557e+09,9.565e+09,2.9104e+10,5.67e+08,2.65e+08,-1.67e+08,1.33e+08,-3e+08,1.54e+08,1.54e+08,8.19e+08,-6.06e+08,-6.06e+08,-6.06e+08,2.6e+08,7.26e+08,-4.66e+08,5e+06,-3.41e+08,-1.73e+08,2.4e+07,-3.89e+08,4.13e+08,-5.4e+07,-2.03e+08,2.75e+08,2.75e+08,2.75e+08,1.236e+09,9.156e+09,1.155e+09,0.59505,0.31182,0.18208,0.05928,0.01948,2.03704,1.21637,2.04276,0.3146,1.12055,1.11834,6.15415,18.88735,2.28261,0.3419,-3.87794579766145,0.02732,0.04264,0.30511,7.13916,9.08754
"4","2011_Q1",20.3177419354839,"Up",2.745e+09,-1.24e+09,1.505e+09,-9.16e+08,-6.42e+08,-2.39e+08,5.89e+08,-9.4e+07,-1.16e+08,-8e+06,3e+07,4.95e+08,-2e+06,4.93e+08,-2.03e+08,2.9e+08,2.82e+08,2.82e+08,2.82e+08,2.8e+08,2.8e+08,1.387e+09,1.387e+09,3.59e+08,3.025e+09,2.04e+08,1.82e+08,6.89e+08,1.343e+09,5.051e+09,1.639e+10,2.3272e+10,-6.882e+09,8.468e+09,1.36e+08,7.9e+07,6.614e+09,2.4858e+10,2.9909e+10,1.284e+09,1.176e+09,1.08e+08,1.185e+09,2.7e+08,9.15e+08,1.016e+09,1.03e+08,4.9e+07,7.92e+08,3.485e+09,7.819e+09,7.819e+09,8.964e+09,1.755e+09,7.88e+08,9.67e+08,5.129e+09,2.08e+09,1.6783e+10,2.0268e+10,4.807e+09,-5.93e+08,5.575e+09,-1.56e+08,9.633e+09,9.641e+09,2.9909e+10,2.82e+08,2.44e+08,1.012e+09,9.01e+08,1.11e+08,-7.13e+08,-7.13e+08,8.25e+08,-6.43e+08,-6.43e+08,-6.43e+08,6.4e+07,2.99e+08,-2.35e+08,6e+06,-5.73e+08,-1.73e+08,-2.69e+08,64000000.0000001,-3.33e+08,1.38e+08,-3.04e+08,-5.2e+07,-5.2e+07,-5.2e+07,8.33e+08,9.004e+09,-3.2e+08,0.54827,0.21457,0.10273,0.02925,0.00943,-1.13475,1.44935,2.10227,0.30105,0.55738,0.55602,5.42554,19.03981,-0.63249,0.34194,7,0.01648,-0.01159,0.61348,10.47299,14.81154
"5","2011_Q2",20.6546031746032,"Up",3.354e+09,-1.563e+09,1.791e+09,-9.35e+08,-6.51e+08,-2.41e+08,8.56e+08,-6.1e+07,-1.27e+08,3e+06,6.3e+07,7.95e+08,-4e+06,7.91e+08,-3.29e+08,4.62e+08,5.26e+08,5.26e+08,5.26e+08,9e+08,9e+08,1.419e+09,1.419e+09,3.65e+08,1.782e+09,1.02e+08,1.74e+08,2.48e+08,8.85e+08,4.466e+09,1.6648e+10,2.3698e+10,-7.05e+09,8.256e+09,1.35e+08,5e+07,6.425e+09,2.4904e+10,2.937e+10,1.22e+09,1.067e+09,1.53e+08,1.211e+09,2.3e+08,9.81e+08,1.052e+09,6.4e+07,1.02e+08,8.41e+08,3.483e+09,7.697e+09,7.697e+09,8.231e+09,1.329e+09,3.73e+08,9.56e+08,5e+09,1.902e+09,1.5928e+10,1.9411e+10,4.813e+09,-5.97e+08,5.928e+09,-1.87e+08,9.957e+09,9.959e+09,2.937e+10,5.26e+08,2.45e+08,-6.63e+08,-1.52e+08,-5.11e+08,9.34e+08,9.34e+08,1.042e+09,-4.97e+08,-4.97e+08,-4.97e+08,-1.6e+07,3.15e+08,-3.31e+08,7e+06,-1.55e+08,-1.73e+08,-4.4e+07,-4.3e+07,-1e+06,-5e+07,-2.67e+08,6.2e+08,6.2e+08,6.2e+08,1.101e+09,8.908e+09,1.867e+09,0.53399,0.25522,0.15683,0.05282,0.01791,3.54943,1.28223,1.94909,0.3033,1.03953,1.03748,6.62846,19.67787,3.68972,0.3419,9.29264859922048,0.0258,0.0689,0.3289,7.27339,9.35514
"6","2011_Q3",21.2128125,"Up",2.469e+09,-1.01e+09,1.459e+09,-8.38e+08,-5.75e+08,-2.35e+08,6.21e+08,-7.3e+07,-1.17e+08,4e+06,4e+07,5.48e+08,-1e+06,5.47e+08,-2.27e+08,3.2e+08,3.23e+08,3.23e+08,3.23e+08,1.59e+08,1.59e+08,1.128e+09,1.128e+09,3.59e+08,2.14e+09,4.46e+08,1.35e+08,9.6e+07,1.073e+09,3.786e+09,1.6894e+10,2.4056e+10,-7.162e+09,8.109e+09,1.42e+08,6.3e+07,6.234e+09,2.5003e+10,2.8789e+10,1.116e+09,1.018e+09,9.8e+07,1.485e+09,5.09e+08,9.76e+08,9.29e+08,6.7e+07,2.5e+07,7.86e+08,3.53e+09,7.063e+09,7.063e+09,8.085e+09,1.147e+09,1.98e+08,9.49e+08,5.121e+09,1.817e+09,1.5148e+10,1.8678e+10,4.812e+09,-6.01e+08,6.077e+09,-1.79e+08,1.0109e+10,1.0111e+10,2.8789e+10,3.23e+08,2.38e+08,1.31e+08,1.24e+08,6999999.99999988,-3.39e+08,-3.39e+08,3.53e+08,-5.05e+08,-5.05e+08,-5.05e+08,-3e+06,3.42e+08,-3.45e+08,-1.1e+07,-5.18e+08,-1.74e+08,-3.29e+08,2.77e+08,-6.06e+08,-7.3e+07,-5.76e+08,-7.41e+08,-7.41e+08,-7.41e+08,8.59e+08,8.548e+09,2.42e+08,0.59093,0.25152,0.13082,0.03195,0.01122,0.74923,1.07252,1.8473,0.29692,0.63834,0.63708,4.87945,19.97826,0.47826,0.34387,7,0.01858,0.00904999999999997,0.5387,9.76601,13.50886
"7","2011_Q4",21.4826984126984,"Up",2.62e+09,-1.167e+09,1.453e+09,-8.97e+08,-6.03e+08,-2.63e+08,5.56e+08,-8.2e+07,-1.17e+08,1e+06,3.4e+07,4.74e+08,-8e+06,4.66e+08,-2.01e+08,2.65e+08,2.94e+08,2.94e+08,2.94e+08,1.242e+09,1.242e+09,1.164e+09,1.164e+09,3.65e+08,2.199e+09,4.16e+08,1.13e+08,3.77e+08,1.197e+09,4.97e+09,1.7282e+10,2.4618e+10,-7.336e+09,7.659e+09,1.64e+08,7.5e+07,5.998e+09,2.4941e+10,2.9911e+10,1.275e+09,1.144e+09,1.31e+08,1.489e+09,2.14e+08,1.275e+09,9.28e+08,9.4e+07,3e+07,8.04e+08,3.692e+09,7.48e+09,7.48e+09,8.578e+09,1.137e+09,1.89e+08,9.48e+08,5.652e+09,1.789e+09,1.6058e+10,1.975e+10,4.818e+09,-6.01e+08,6.198e+09,-2.56e+08,1.0159e+10,1.0161e+10,2.9911e+10,2.94e+08,2.62e+08,7.45e+08,6.57e+08,8.8e+07,-2.87e+08,-2.87e+08,1.014e+09,-4.77e+08,-4.77e+08,-4.77e+08,-3e+06,4.31e+08,-4.34e+08,-9e+06,-1.54e+08,-1.73e+08,4.52e+08,-2.98e+08,7.5e+08,-5.6e+07,2.23e+08,1.083e+09,1.083e+09,1.083e+09,8.18e+08,8.969e+09,2.55e+08,0.55458,0.21221,0.11221,0.02893,0.00983,0.86735,1.34615,1.94371,0.29986,0.58103,0.57988,5.17787,20.07708,0.50395,0.3419,5,0.01685,0.0092,0.58844,9.44621,13.89748
"8","2012_Q1",20.3393548387097,"Down",2.636e+09,-1.007e+09,1.629e+09,-9.2e+08,-6.52e+08,-2.37e+08,7.09e+08,-1.2e+08,-1.14e+08,-4e+06,-2e+06,5.89e+08,-9e+06,5.8e+08,-2.2e+08,3.6e+08,3.6e+08,3.6e+08,3.6e+08,8.34e+08,8.34e+08,9.67e+08,9.67e+08,3.67e+08,1.743e+09,3.08e+08,1.56e+08,1.6e+07,1.263e+09,3.911e+09,1.7849e+10,2.508e+10,-7.231e+09,8.061e+09,1.31e+08,1.06e+08,6.505e+09,2.591e+10,2.9821e+10,1.281e+09,1.184e+09,9.7e+07,6.33e+08,2.16e+08,4.17e+08,1.043e+09,1.31e+08,2e+08,7.12e+08,2.957e+09,7.461e+09,7.461e+09,9.131e+09,1.861e+09,7.34e+08,1.127e+09,5.458e+09,1.812e+09,1.6592e+10,1.9549e+10,4.823e+09,-6.01e+08,6.385e+09,-3.37e+08,1.027e+10,1.0272e+10,2.9821e+10,3.6e+08,2.37e+08,-4.8e+07,1.82e+08,-2.3e+08,5.99e+08,5.99e+08,1.148e+09,-6.04e+08,-6.04e+08,-6.04e+08,1.7e+08,4.46e+08,-2.76e+08,-8e+06,-4.42e+08,-1.73e+08,-8.64e+08,0,-8.64e+08,-7.7e+07,-1.114e+09,-4.08e+08,-4.08e+08,-4.08e+08,9.46e+08,8.094e+09,1.161e+09,0.61798,0.26897,0.13657,0.03505,0.01207,3.225,1.32262,1.90313,0.27142,0.71175,0.71016,5.21159,20.30463,2.29539,0.34204,7,0.01938,0.04222,0.48056,7.67442,10.23977
"9","2012_Q2",20.9028571428571,"Up",2.875e+09,-1.179e+09,1.696e+09,-9.13e+08,-6.28e+08,-2.56e+08,7.83e+08,-7.3e+07,-1.01e+08,0,2.8e+07,7.1e+08,-5e+06,7.05e+08,-2.12e+08,4.93e+08,4.93e+08,4.93e+08,4.93e+08,9.31e+08,9.31e+08,9.92e+08,9.92e+08,3.75e+08,1.663e+09,3.15e+08,2.02e+08,15999999.9999999,1.13e+09,3.961e+09,1.8233e+10,2.5596e+10,-7.363e+09,7.808e+09,1.36e+08,1.31e+08,6.249e+09,2.6041e+10,3.0002e+10,1.145e+09,1.03e+09,1.15e+08,7.48e+08,2.47e+08,5.01e+08,1.215e+09,1.54e+08,3.17e+08,7.44e+08,3.108e+09,7.259e+09,7.259e+09,9.009e+09,1.728e+09,6.13e+08,1.115e+09,5.693e+09,1.588e+09,1.6268e+10,1.9376e+10,4.823e+09,-6.05e+08,6.699e+09,-2.93e+08,1.0624e+10,1.0626e+10,3.0002e+10,4.93e+08,2.56e+08,7.8e+07,1.2e+07,6.6e+07,2.61e+08,2.61e+08,1.088e+09,-6.87e+08,-6.87e+08,-6.87e+08,-1.2e+07,4.99e+08,-5.11e+08,-7e+06,-7.06e+08,-1.79e+08,-8.6e+07,2.9e+07,-1.15e+08,-2e+07,-2.85e+08,9.7e+07,9.7e+07,9.7e+07,1.039e+09,8.007e+09,8.25e+08,0.58991,0.27235,0.17148,0.0464,0.01643,1.67343,1.27445,1.82345,0.26688,0.97431,0.97239,5.68182,20.99605,1.63043,0.35375,5,0.02431,0.02985,0.36308,6.81039,9.03704
"10","2012_Q3",21.9268253968254,"Up",2.098e+09,-7.61e+08,1.337e+09,-9.04e+08,-6.29e+08,-2.55e+08,4.33e+08,-6.9e+07,-1.03e+08,2e+06,3.2e+07,3.64e+08,-7e+06,3.57e+08,-1.46e+08,2.11e+08,2.11e+08,2.11e+08,2.11e+08,7.65e+08,7.65e+08,8.96e+08,8.96e+08,4.03e+08,1.876e+09,3.97e+08,1.65e+08,1.6e+07,1.208e+09,3.94e+09,1.859e+10,2.6045e+10,-7.455e+09,7.612e+09,5.2e+07,1.33e+08,6.117e+09,2.6202e+10,3.0142e+10,9.96e+08,8.98e+08,9.8e+07,9.88e+08,2.37e+08,7.51e+08,8.32e+08,8.8e+07,8.8e+07,6.56e+08,2.816e+09,7.336e+09,7.336e+09,9.344e+09,1.739e+09,6.24e+08,1.115e+09,5.939e+09,1.666e+09,1.668e+10,1.9496e+10,4.829e+09,-6.05e+08,6.73e+09,-3.1e+08,1.0644e+10,1.0646e+10,3.0142e+10,2.11e+08,2.55e+08,-1.19e+08,1.53e+08,-2.72e+08,-5.7e+07,-5.7e+07,2.9e+08,-5.93e+08,-5.93e+08,-5.93e+08,-4000000.00000003,3.52e+08,-3.56e+08,-3.6e+07,-6.33e+08,-1.8e+08,3.62e+08,-1.3e+07,3.75e+08,-4999999.99999999,1.77e+08,-1.66e+08,-1.66e+08,-1.66e+08,6.88e+08,8.324e+09,1.84e+08,0.63727,0.20639,0.10057,0.01982,0.007,0.87204,1.39915,1.8313,0.27616,0.417,0.41617,4.14625,21.03557,0.36364,0.35573,6,0.01381,0.0065,0.85308,10.98692,17.45727
"11","2012_Q4",21.2211290322581,"Down",2.402e+09,-8.79e+08,1.523e+09,-9.29e+08,-6.19e+08,-2.86e+08,5.94e+08,-4e+06,-1.06e+08,7e+06,9.5e+07,5.9e+08,-2e+06,5.88e+08,-2.41e+08,3.47e+08,3.47e+08,3.47e+08,3.47e+08,7.8e+08,7.8e+08,1.044e+09,1.044e+09,4.16e+08,1.738e+09,2.74e+08,1.23e+08,0,1.193e+09,3.978e+09,1.9103e+10,2.6731e+10,-7.628e+09,7.625e+09,5.7e+07,1.44e+08,6.094e+09,2.6728e+10,3.0706e+10,1.131e+09,1.012e+09,1.19e+08,9.75e+08,2.24e+08,7.51e+08,9.33e+08,5.1e+07,2.16e+08,6.66e+08,3.039e+09,7.334e+09,7.334e+09,9.525e+09,1.745e+09,6.29e+08,1.116e+09,6.058e+09,1.722e+09,1.6859e+10,1.9898e+10,4.836e+09,-6.06e+08,6.898e+09,-3.22e+08,1.0806e+10,1.0808e+10,3.0706e+10,3.47e+08,2.86e+08,2.63e+08,5.6e+07,2.07e+08,3.7e+07,3.7e+07,9.33e+08,-6.89e+08,-6.89e+08,-6.89e+08,-8e+06,6.22e+08,-6.3e+08,-1.5e+07,-7.12e+08,-1.79e+08,1.34e+08,-1.6e+07,1.5e+08,-1.61e+08,-2.06e+08,1.5e+07,1.5e+07,1.5e+07,8.8e+08,8.309e+09,4.69e+08,0.63405,0.24729,0.14446,0.03211,0.0113,1.35159,1.30898,1.84104,0.2706,0.68577,0.68442,4.74704,21.35573,0.92688,0.35375,6,0.01836,0.01637,0.51585,8.55568,12.67508
"12","2013_Q1",22.0553333333333,"Up",2.406e+09,-9e+08,1.506e+09,-1.038e+09,-7.56e+08,-2.57e+08,4.68e+08,-1.03e+08,-1.13e+08,3e+06,7e+06,3.65e+08,-4e+06,3.61e+08,-1.37e+08,2.24e+08,2.24e+08,2.24e+08,2.24e+08,3.79e+08,3.79e+08,1.069e+09,1.069e+09,4.22e+08,1.999e+09,2.83e+08,1.38e+08,2.27e+08,1.302e+09,3.869e+09,1.9736e+10,2.7402e+10,-7.666e+09,8.12e+09,3.4e+07,1.53e+08,6.593e+09,2.7856e+10,3.1725e+10,1.395e+09,1.304e+09,9.1e+07,1.515e+09,4.89e+08,1.026e+09,8.67e+08,4.6e+07,8.9e+07,7.32e+08,3.777e+09,6.687e+09,6.687e+09,1.048e+10,2.161e+09,8.76e+08,1.285e+09,6.542e+09,1.777e+09,1.7167e+10,2.0944e+10,4.833e+09,-6.07e+08,6.942e+09,-3.88e+08,1.078e+10,1.0781e+10,3.1725e+10,2.24e+08,2.57e+08,4.12e+08,5e+08,-8.8e+07,-4.17e+08,-4.17e+08,4.76e+08,-6.05e+08,-6.05e+08,-6.05e+08,4.8e+07,2.51e+08,-2.03e+08,-1.7e+07,-5.74e+08,-1.8e+08,-3.5e+07,2.63e+08,-2.98e+08,-8.8e+07,-3.03e+08,-4.01e+08,-4.01e+08,-4.01e+08,7.25e+08,8.202e+09,-1.6e+08,0.62594,0.19451,0.0931,0.02078,0.00706,-0.71429,1.02436,1.94268,0.25853,0.44269,0.44181,4.75494,21.30435,-0.31621,0.35573,5,0.01371,-0.00543,0.80357,10.79034,16.71581
"13","2013_Q2",24.03890625,"Up",2.786e+09,-1.155e+09,1.631e+09,-1.021e+09,-7.1e+08,-2.9e+08,6.1e+08,-6.8e+07,-1.02e+08,2e+06,3.2e+07,5.42e+08,-2e+06,5.4e+08,-2.2e+08,3.2e+08,3.2e+08,3.2e+08,3.2e+08,4.2e+08,4.2e+08,1.457e+09,1.457e+09,4.36e+08,1.343e+09,8.7e+07,7.7e+07,2.26e+08,9.15e+08,3.656e+09,2.0125e+10,2.7932e+10,-7.807e+09,7.931e+09,3.7e+07,1.02e+08,6.456e+09,2.8056e+10,3.1712e+10,1.192e+09,1.078e+09,1.14e+08,1.27e+09,3.94e+08,8.76e+08,9.44e+08,2.7e+07,1.02e+08,8.15e+08,3.406e+09,7.009e+09,7.009e+09,1.035e+10,1.994e+09,7.24e+08,1.27e+09,6.604e+09,1.752e+09,1.7359e+10,2.0765e+10,4.833e+09,-6.12e+08,7.08e+09,-3.55e+08,1.0946e+10,1.0947e+10,3.1712e+10,3.2e+08,2.9e+08,-2.1e+07,-5e+06,-1.6e+07,2.88e+08,2.88e+08,8.77e+08,-7.24e+08,-7.24e+08,-7.24e+08,-1.3e+07,2.58e+08,-2.71e+08,4e+06,-7.33e+08,-1.82e+08,1.52e+08,-9.8e+07,2.5e+08,-7.3e+07,-1.03e+08,4.1e+07,4.1e+07,4.1e+07,9e+08,8.279e+09,6.84e+08,0.58543,0.21895,0.11486,0.02923,0.01009,2.1375,1.0734,1.89687,0.26107,0.63116,0.63116,5.49507,21.58974,1.34911,0.35897,4,0.01697,0.02313,0.56875,8.73222,12.88361
"14","2013_Q3",23.528125,"Down",2.31e+09,-7.55e+08,1.555e+09,-9.43e+08,-6.46e+08,-2.83e+08,6.12e+08,-5.9e+07,-1.01e+08,3e+06,3.9e+07,5.53e+08,-2e+06,5.51e+08,-2.18e+08,3.33e+08,3.33e+08,3.33e+08,3.33e+08,1.64e+08,1.64e+08,1.133e+09,1.133e+09,4.35e+08,1.883e+09,3.12e+08,1.42e+08,2.26e+08,1.171e+09,3.615e+09,2.0561e+10,2.8515e+10,-7.954e+09,7.883e+09,4.1e+07,1.61e+08,6.342e+09,2.8444e+10,3.2059e+10,1.143e+09,1.046e+09,9.7e+07,9.65e+08,3.89e+08,5.76e+08,9.5e+08,4.2e+07,7.7e+07,8.31e+08,3.058e+09,7.442e+09,7.442e+09,1.0462e+10,1.989e+09,7.17e+08,1.272e+09,6.686e+09,1.787e+09,1.7904e+10,2.0962e+10,4.842e+09,-6.15e+08,7.231e+09,-3.62e+08,1.1096e+10,1.1097e+10,3.2059e+10,3.33e+08,2.83e+08,1e+07,1.51e+08,-1.41e+08,-1.6e+08,-1.6e+08,4.66e+08,-6.82e+08,-6.82e+08,-6.82e+08,5.2e+07,4.65e+08,-4.13e+08,-1.6e+07,-6.46e+08,-1.82e+08,1.92e+08,-7999999.99999994,2e+08,-8.6e+07,-7.6e+07,-2.56e+08,-2.56e+08,-2.56e+08,8.95e+08,8.407e+09,2.71e+08,0.67316,0.26494,0.14416,0.03001,0.01039,0.81381,1.18215,1.88898,0.26224,0.6581,0.65551,4.56522,21.92885,0.53557,0.35968,7,0.01719,0.00904000000000001,0.54655,9.21006,13.46895
"15","2013_Q4",23.78296875,"Up",2.554e+09,-8.01e+08,1.753e+09,-1.041e+09,-7.13e+08,-3.13e+08,7.12e+08,-4.9e+07,-1e+08,4e+06,4.7e+07,6.63e+08,-3e+06,6.6e+08,-2.7e+08,3.9e+08,3.9e+08,3.9e+08,3.9e+08,4.48e+08,4.48e+08,1.069e+09,1.069e+09,4.5e+08,1.774e+09,2.1e+08,1.07e+08,2.25e+08,1.201e+09,3.741e+09,2.1079e+10,2.9206e+10,-8.127e+09,7.79e+09,5.2e+07,1.84e+08,6.218e+09,2.8869e+10,3.261e+10,1.138e+09,1.024e+09,1.14e+08,1.01e+09,2.35e+08,7.75e+08,1.087e+09,3.6e+07,1.31e+08,9.2e+08,3.235e+09,7.476e+09,7.476e+09,1.056e+10,1.984e+09,7.1e+08,1.274e+09,6.807e+09,1.769e+09,1.8036e+10,2.1271e+10,4.852e+09,-6.15e+08,7.439e+09,-3.38e+08,1.1338e+10,1.1339e+10,3.261e+10,3.9e+08,3.13e+08,1.37e+08,9.6e+07,4.1e+07,2.52e+08,2.52e+08,1.092e+09,-6.96e+08,-6.96e+08,-6.96e+08,-5e+06,2.33e+08,-2.38e+08,-8e+06,-7.09e+08,-1.82e+08,1.43e+08,-1.57e+08,3e+08,-6e+07,-9.9e+07,2.84e+08,2.84e+08,2.84e+08,1.025e+09,8.486e+09,8.51e+08,0.68637,0.27878,0.1527,0.03439,0.01196,2.18205,1.15641,1.87591,0.26023,0.77075,0.76772,5.04743,22.40711,1.68182,0.35968,7,0.01883,0.02801,0.46667,7.84195,11.28933
